18A Test,P Diddy,P Diddy,E160520BC,E160520BC,170710F,170710F
Time (ms),Voltage1 (V),Current1 (A),Voltage2 (V),Current2 (A),Voltage3 (V),Current3 (A)
60762,12.076,18.027,11.925,18.027,12.069,18.028
61269,12.076,18.027,11.925,18.027,12.069,18.028
61795,12.076,18.027,11.925,18.027,12.069,18.011
62291,12.076,18.027,11.925,18.027,12.069,18.011
62832,12.076,18.027,11.925,18.027,12.069,18.011
63337,12.076,18.027,11.925,18.027,12.069,18.028
63859,12.076,18.027,11.925,18.027,12.069,18.028
64349,12.076,18.027,11.925,18.027,12.069,18.028
64903,12.076,18.027,11.925,18.027,12.069,18.011
65425,12.076,18.027,11.925,18.027,12.069,18.028
65920,12.076,18.027,11.925,18.027,12.069,18.011
66436,12.076,18.027,11.925,18.027,12.069,18.028
66943,12.076,18.027,11.925,18.027,12.069,18.011
67473,12.076,18.027,11.925,18.027,12.069,18.011
67968,12.076,18.027,11.925,18.027,12.069,18.028
68496,12.076,18.027,11.925,18.027,12.069,18.011
68999,12.076,18.027,11.925,18.027,12.069,18.011
69518,12.076,18.027,11.925,18.027,12.069,18.011
70013,12.076,18.027,11.925,18.027,12.069,18.028
70546,12.076,18.027,11.925,18.027,12.069,18.011
71045,12.076,18.027,11.925,18.027,12.069,18.011
71606,12.076,18.027,11.925,18.027,12.069,18.011
72106,12.092,18.027,11.925,18.027,12.069,18.011
72640,12.092,18.027,11.925,18.027,12.069,18.011
73132,12.092,18.027,11.925,18.027,12.069,18.011
73655,12.092,18.027,11.925,18.027,12.069,18.011
74142,12.092,18.027,11.925,18.027,12.069,18.028
74675,12.092,18.027,11.925,18.027,12.069,18.011
75172,12.092,18.027,11.925,18.027,12.069,18.011
75693,12.092,18.027,11.925,18.027,12.069,18.011
76214,12.092,18.027,11.925,18.027,12.069,18.011
76716,12.092,18.027,11.925,18.027,12.069,18.011
77243,12.092,18.027,11.925,18.027,12.069,18.011
77744,12.092,18.027,11.925,18.027,12.069,18.011
78276,12.092,18.027,11.925,18.027,12.069,18.011
78783,12.092,18.027,11.925,18.027,12.069,18.011
79309,12.092,18.027,11.925,18.027,12.069,18.011
79801,12.092,18.027,11.925,18.027,12.069,18.011
80323,12.092,18.027,11.925,18.027,12.069,18.011
80822,12.092,18.027,11.925,18.027,12.069,18.011
81332,12.092,18.027,11.925,18.027,12.069,18.011
81860,12.092,18.027,11.925,18.027,12.069,18.011
82385,12.092,18.027,11.925,18.027,12.069,18.011
82877,12.092,18.027,11.942,18.027,12.069,18.011
83420,12.092,18.027,11.925,18.027,12.069,18.011
83939,12.092,18.027,11.942,18.027,12.069,18.011
84442,12.092,18.027,11.942,18.027,12.069,18.011
84963,12.092,18.027,11.942,18.027,12.069,18.011
85454,12.092,18.027,11.942,18.027,12.069,18.011
85971,12.092,18.027,11.942,18.027,12.069,18.011
86475,12.092,18.027,11.942,18.027,12.069,18.011
87000,12.092,18.027,11.942,18.027,12.069,18.011
87506,12.092,18.027,11.942,18.027,12.069,18.011
88026,12.092,18.027,11.942,18.027,12.069,18.011
88527,12.092,18.027,11.942,18.027,12.069,18.011
89045,12.092,18.027,11.942,18.027,12.069,18.011
89544,12.092,18.027,11.942,18.027,12.069,18.011
