18A Test,,,,,,
Time (ms),Voltage1 (V),Current1 (A),Voltage2 (V),Current2 (A),Voltage3 (V),Current3 (A)
57395,12.242,18.027,12.87,0.003,12.865,-0.01
57899,12.242,18.027,12.87,0.003,12.865,-0.01
58381,12.242,18.027,12.87,0.003,12.865,-0.01
58879,12.242,18.027,12.886,0.003,12.865,-0.01
59370,12.242,18.027,12.886,0.003,12.865,-0.01
59886,12.242,18.027,12.886,0.003,12.865,-0.01
60366,12.242,18.027,12.886,0.003,12.865,-0.01
60864,12.242,18.027,12.886,0.003,12.865,-0.01
61343,12.242,18.027,12.886,0.003,12.865,-0.01
61847,12.242,18.027,12.886,0.003,12.865,-0.01
62313,12.242,18.027,12.886,0.003,12.865,-0.01
62813,12.242,18.027,12.886,0.003,12.865,-0.01
63320,12.242,18.027,12.886,0.003,12.865,-0.01
63823,12.242,18.027,12.886,0.003,12.882,-0.01
64311,12.242,18.027,12.886,0.003,12.882,-0.01
64811,12.242,18.027,12.886,0.003,12.882,-0.01
65289,12.242,18.027,12.886,0.003,12.882,-0.01
65792,12.242,18.027,12.886,0.003,12.882,-0.01
66272,12.242,18.027,12.886,0.003,12.882,-0.01
66760,12.242,18.027,12.886,0.003,12.882,-0.01
67249,12.242,18.027,12.886,0.003,12.882,-0.01
67790,12.225,18.027,12.903,0.003,12.882,-0.01
68265,12.225,18.027,12.903,0.003,12.882,-0.01
68767,12.225,18.027,12.903,0.003,12.882,0.006
69267,12.225,18.027,12.903,0.003,12.882,-0.01
69755,12.225,18.027,12.903,0.003,12.882,-0.01
70267,12.225,18.027,12.903,0.003,12.882,-0.01
70747,12.225,18.027,12.903,0.003,12.882,-0.01
71259,12.225,18.027,12.903,0.003,12.882,-0.01
71743,12.225,18.027,12.903,0.003,12.882,-0.01
72244,12.225,18.027,12.903,0.003,12.898,-0.01
72720,12.225,18.027,12.903,0.003,12.898,-0.01
73218,12.225,18.027,12.903,0.003,12.898,-0.01
73694,12.225,18.027,12.903,0.003,12.898,-0.01
74200,12.225,18.027,12.903,0.003,12.898,-0.01
74678,12.225,18.027,12.903,0.003,12.898,-0.01
75186,12.225,18.027,12.903,0.003,12.898,-0.01
75659,12.225,18.027,12.903,0.003,12.898,-0.01
76158,12.225,18.027,12.903,0.003,12.898,-0.01
76636,12.225,18.027,12.903,0.003,12.898,-0.01
77143,12.225,18.027,12.919,0.003,12.898,-0.01
77655,12.225,18.027,12.919,0.003,12.898,0.006
78167,12.225,18.027,12.919,0.003,12.898,-0.01
78677,12.225,18.027,12.919,0.003,12.898,-0.01
79157,12.225,18.027,12.919,0.003,12.898,-0.01
79664,12.225,18.027,12.919,0.003,12.898,-0.01
80138,12.225,18.027,12.919,0.003,12.898,-0.01
80632,12.225,18.027,12.919,0.003,12.898,0.006
81117,12.225,18.027,12.919,0.003,12.898,-0.01
81627,12.225,18.027,12.919,0.003,12.915,-0.01
82106,12.225,18.027,12.919,0.003,12.915,-0.01
82609,12.225,18.027,12.919,0.003,12.915,-0.01
83093,12.225,18.027,12.919,0.003,12.915,-0.01
83635,12.209,18.027,12.919,0.003,12.915,-0.01
84115,12.209,18.027,12.919,0.003,12.915,-0.01
84615,12.209,18.027,12.919,0.003,12.915,-0.01
85091,12.209,18.027,12.919,0.003,12.915,-0.01
