18A Test,Kowalski,Kowalski,Fresh Prince,Fresh Prince,Snoop Dogg,Snoop Dogg
Time (ms),Voltage1 (V),Current1 (A),Voltage2 (V),Current2 (A),Voltage3 (V),Current3 (A)
60543,12.175,18.027,11.892,18.027,12.019,18.028
61075,12.175,18.027,11.892,18.027,12.019,18.028
61570,12.175,18.027,11.892,18.027,12.019,18.028
62093,12.175,18.027,11.892,18.027,12.019,18.028
62591,12.175,18.027,11.892,18.027,12.019,18.028
63104,12.175,18.027,11.892,18.027,12.019,18.028
63625,12.175,18.027,11.892,18.027,12.019,18.028
64139,12.175,18.027,11.892,18.027,12.019,18.028
64652,12.175,18.027,11.892,18.027,12.019,18.028
65160,12.175,18.027,11.892,18.027,12.019,18.028
65671,12.175,18.027,11.892,18.027,12.019,18.028
66160,12.175,18.027,11.892,18.027,12.019,18.028
66693,12.175,18.027,11.892,18.027,12.019,18.028
67183,12.175,18.027,11.892,18.027,12.019,18.028
67711,12.175,18.027,11.892,18.027,12.019,18.028
68206,12.175,18.027,11.892,18.027,12.019,18.028
68725,12.175,18.027,11.892,18.027,12.036,18.028
69237,12.175,18.027,11.892,18.027,12.036,18.028
69776,12.175,18.027,11.892,18.027,12.036,18.028
70274,12.175,18.027,11.892,18.027,12.036,18.028
70793,12.175,18.027,11.892,18.027,12.036,18.028
71294,12.175,18.027,11.892,18.027,12.036,18.028
71801,12.175,18.027,11.892,18.027,12.036,18.028
72299,12.175,18.027,11.892,18.027,12.036,18.028
72817,12.175,18.027,11.892,18.027,12.036,18.028
73325,12.175,18.027,11.892,18.027,12.036,18.028
73876,12.175,18.027,11.892,18.027,12.036,18.028
74395,12.175,18.027,11.892,18.027,12.036,18.028
74890,12.175,18.027,11.892,18.027,12.036,18.028
75416,12.175,18.027,11.892,18.027,12.036,18.028
75912,12.175,18.027,11.892,18.027,12.036,18.028
76429,12.175,18.027,11.892,18.027,12.036,18.028
76937,12.175,18.027,11.892,18.027,12.036,18.028
77458,12.175,18.027,11.892,18.027,12.036,18.028
77958,12.175,18.027,11.892,18.027,12.036,18.028
78468,12.175,18.027,11.892,18.027,12.036,18.028
78983,12.175,18.027,11.892,18.027,12.036,18.028
79510,12.175,18.027,11.892,18.027,12.036,18.028
79994,12.175,18.027,11.892,18.027,12.036,18.028
80520,12.175,18.027,11.892,18.027,12.036,18.028
81033,12.175,18.027,11.892,18.027,12.036,18.028
81553,12.175,18.027,11.892,18.027,12.036,18.028
82062,12.175,18.027,11.892,18.027,12.036,18.028
82600,12.175,18.027,11.892,18.027,12.036,18.028
83128,12.175,18.027,11.892,18.027,12.036,18.028
83657,12.175,18.027,11.892,18.027,12.036,18.028
84188,12.175,18.027,11.892,18.027,12.036,18.028
84679,12.175,18.027,11.892,18.027,12.036,18.028
85214,12.175,18.027,11.892,18.027,12.036,18.028
85738,12.175,18.027,11.892,18.027,12.036,18.028
86227,12.175,18.027,11.892,18.027,12.036,18.028
86749,12.175,18.027,11.892,18.027,12.036,18.028
87245,12.175,18.027,11.892,18.027,12.036,18.028
87764,12.175,18.027,11.892,18.027,12.036,18.028
88259,12.175,18.027,11.892,18.027,12.036,18.028
88783,12.175,18.027,11.892,18.027,12.036,18.028
89281,12.175,18.027,11.909,18.027,12.036,18.028
89805,12.175,18.027,11.909,18.027,12.036,18.028
90300,12.175,18.027,11.909,18.027,12.036,18.028
90818,12.175,18.027,11.909,18.027,12.036,18.028
91329,12.175,18.027,11.909,18.027,12.036,18.028
91854,12.175,18.027,11.909,18.027,12.036,18.028
92346,12.175,18.027,11.909,18.027,12.036,18.028
92866,12.175,18.027,11.909,18.027,12.036,18.028
93376,12.175,18.027,11.909,18.027,12.036,18.028
93933,12.175,18.027,11.909,18.027,12.036,18.028
94430,12.175,18.027,11.909,18.027,12.036,18.028
94938,12.175,18.027,11.909,18.027,12.036,18.028
95439,12.175,18.027,11.909,18.027,12.036,18.028
95970,12.175,18.027,11.909,18.027,12.036,18.028
96460,12.175,18.027,11.909,18.027,12.036,18.028
96994,12.175,18.027,11.909,18.027,12.036,18.028
97477,12.175,18.027,11.909,18.027,12.036,18.028
98003,12.175,18.027,11.909,18.027,12.036,18.028
98497,12.175,18.027,11.909,18.027,12.036,18.028
99015,12.175,18.027,11.909,18.027,12.036,18.028
99512,12.175,18.027,11.909,18.027,12.036,18.011
100039,12.175,18.027,11.909,18.027,12.036,18.028
100534,12.175,18.027,11.909,18.027,12.036,18.028
101065,12.175,18.027,11.909,18.027,12.036,18.028
101565,12.175,18.027,11.909,18.027,12.036,18.011
102083,12.175,18.027,11.909,18.027,12.036,18.011
102585,12.175,18.027,11.909,18.027,12.036,18.028
103112,12.175,18.027,11.909,18.027,12.036,18.028
103619,12.175,18.027,11.909,18.027,12.036,18.011
104164,12.175,18.027,11.909,18.027,12.052,18.028
104702,12.192,18.027,11.909,18.027,12.052,18.011
105213,12.175,18.027,11.909,18.027,12.052,18.028
105739,12.175,18.027,11.909,18.027,12.052,18.028
106238,12.175,18.027,11.909,18.027,12.052,18.028
106755,12.192,18.027,11.909,18.027,12.052,18.028
107288,12.175,18.027,11.909,18.027,12.052,18.028
107852,12.192,18.027,11.909,18.027,12.052,18.011
108413,12.175,18.027,11.909,18.027,12.052,18.028
108978,12.175,18.027,11.909,18.027,12.052,18.011
109516,12.175,18.027,11.909,18.027,12.052,18.011
110063,12.175,18.027,11.909,18.027,12.052,18.028
110583,12.192,18.027,11.909,18.027,12.052,18.011
111108,12.192,18.027,11.909,18.027,12.052,18.028
111691,12.175,18.027,11.909,18.027,12.052,18.011
112240,12.192,18.027,11.909,18.027,12.052,18.028
112762,12.192,18.027,11.909,18.027,12.052,18.028
113299,12.192,18.027,11.909,18.027,12.052,18.028
113808,12.192,18.027,11.909,18.027,12.052,18.011
114312,12.192,18.027,11.909,18.027,12.052,18.011
114863,12.192,18.027,11.909,18.027,12.052,18.028
115386,12.192,18.027,11.909,18.027,12.052,18.028
115944,12.192,18.027,11.909,18.027,12.052,18.028
116529,12.175,18.027,11.909,18.027,12.052,18.028
117064,12.175,18.027,11.909,18.027,12.052,18.011
117567,12.175,18.027,11.909,18.027,12.052,18.028
118087,12.175,18.027,11.909,18.027,12.052,18.028
118578,12.175,18.027,11.909,18.027,12.052,18.028
119168,12.192,18.027,11.909,18.027,12.052,18.028
119660,12.175,18.027,11.909,18.027,12.052,18.011
