18A Test,Moto Moto,Moto Moto,Run DMC,Run DMC,Fetty Wap,Fetty Wap
Time (ms),Voltage1 (V),Current1 (A),Voltage2 (V),Current2 (A),Voltage3 (V),Current3 (A)
59134,12.242,18.027,12.837,0.003,12.235,18.028
59628,12.242,18.027,12.837,0.003,12.235,18.028
60151,12.242,18.027,12.837,0.003,12.235,18.028
60628,12.242,18.027,12.837,0.003,12.235,18.028
61139,12.242,18.027,12.837,0.003,12.235,18.028
61630,12.242,18.027,12.837,0.003,12.235,18.028
62140,12.242,18.027,12.853,0.003,12.235,18.028
62634,12.242,18.027,12.853,0.003,12.235,18.028
63147,12.242,18.027,12.853,0.003,12.235,18.028
63622,12.242,18.027,12.853,0.003,12.235,18.028
64135,12.242,18.027,12.853,0.003,12.235,18.028
64621,12.242,18.027,12.853,0.003,12.235,18.028
65165,12.242,18.027,12.853,0.003,12.235,18.028
65677,12.242,18.027,12.853,0.003,12.235,18.028
66167,12.242,18.027,12.853,0.003,12.235,18.028
66678,12.242,18.027,12.853,0.003,12.235,18.028
67170,12.242,18.027,12.853,0.003,12.235,18.028
67682,12.242,18.027,12.853,0.003,12.235,18.028
68173,12.242,18.027,12.853,0.003,12.235,18.028
68684,12.242,18.027,12.853,0.003,12.235,18.028
69169,12.242,18.027,12.853,0.003,12.235,18.028
69699,12.242,18.027,12.853,0.003,12.235,18.028
70185,12.242,18.027,12.853,0.003,12.235,18.028
70693,12.242,18.027,12.853,0.003,12.235,18.028
71182,12.242,18.027,12.853,0.003,12.235,18.028
71706,12.242,18.027,12.853,0.003,12.235,18.028
72201,12.242,18.027,12.87,0.003,12.235,18.028
72716,12.242,18.027,12.87,0.003,12.235,18.028
73212,12.242,18.027,12.87,0.003,12.235,18.028
73720,12.242,18.027,12.87,0.003,12.235,18.028
74203,12.242,18.027,12.87,0.003,12.235,18.028
74718,12.242,18.027,12.87,0.003,12.235,18.028
75228,12.242,18.027,12.87,0.003,12.235,18.028
75740,12.242,18.027,12.87,0.003,12.235,18.028
76251,12.242,18.027,12.87,0.003,12.235,18.028
76743,12.242,18.027,12.87,0.003,12.235,18.028
77255,12.242,18.027,12.87,0.003,12.235,18.028
77745,12.242,18.027,12.87,0.003,12.235,18.028
78253,12.242,18.027,12.87,0.003,12.235,18.028
78738,12.242,18.027,12.87,0.003,12.235,18.028
79251,12.242,18.027,12.87,0.003,12.235,18.028
79731,12.242,18.027,12.87,0.003,12.235,18.028
80256,12.242,18.027,12.87,0.003,12.235,18.028
80741,12.242,18.027,12.87,0.003,12.235,18.028
81290,12.242,18.027,12.87,0.003,12.235,18.028
81773,12.242,18.027,12.87,0.003,12.235,18.028
82287,12.258,18.027,12.886,0.003,12.235,18.028
82765,12.258,18.027,12.886,0.003,12.235,18.028
83273,12.258,18.027,12.886,0.003,12.235,18.028
83756,12.258,18.027,12.886,0.003,12.235,18.028
84282,12.258,18.027,12.886,0.003,12.235,18.028
84772,12.258,18.027,12.886,0.003,12.235,18.028
85283,12.258,18.027,12.886,0.003,12.235,18.028
85776,12.258,18.027,12.886,0.003,12.235,18.028
86279,12.258,18.027,12.886,0.003,12.235,18.028
86768,12.258,18.027,12.886,0.003,12.235,18.028
87276,12.258,18.027,12.886,0.003,12.235,18.028
87764,12.258,18.027,12.886,0.003,12.235,18.028
88298,12.258,18.027,12.886,0.003,12.235,18.028
88790,12.258,18.027,12.886,0.003,12.235,18.028
89307,12.258,18.027,12.886,0.003,12.235,18.028
89795,12.258,18.027,12.886,0.003,12.235,18.028
90317,12.258,18.027,12.886,0.003,12.235,18.028
90805,12.258,18.027,12.886,0.003,12.235,18.028
