18A Test,Led Zeppelin,Led Zeppelin,Johnny Cash,Johnny Cash,Fresh Prince,Fresh Prince
Time (ms),Voltage1 (V),Current1 (A),Voltage2 (V),Current2 (A),Voltage3 (V),Current3 (A)
59865,12.541,18.027,12.406,18.027,12.318,18.028
60364,12.541,18.027,12.406,18.027,12.318,18.028
60883,12.541,18.027,12.406,18.027,12.318,18.028
61391,12.541,18.027,12.406,18.027,12.318,18.028
61921,12.541,18.027,12.406,18.027,12.318,18.028
62410,12.541,18.027,12.406,18.027,12.318,18.028
62923,12.541,18.027,12.406,18.027,12.318,18.028
63419,12.541,18.027,12.406,18.027,12.318,18.028
63959,12.541,18.027,12.406,18.027,12.318,18.028
64463,12.541,18.027,12.406,18.027,12.318,18.028
64995,12.541,18.027,12.406,18.027,12.318,18.028
65510,12.541,18.027,12.406,18.027,12.318,18.028
66015,12.541,18.027,12.406,18.027,12.318,18.028
66533,12.541,18.027,12.406,18.027,12.318,18.028
67067,12.541,18.027,12.406,18.027,12.318,18.028
67598,12.541,18.027,12.406,18.027,12.318,18.028
68130,12.541,18.027,12.406,18.027,12.318,18.028
68624,12.541,18.027,12.406,18.027,12.318,18.028
69156,12.541,18.027,12.406,18.027,12.318,18.028
69658,12.541,18.027,12.406,18.027,12.318,18.028
70184,12.541,18.027,12.406,18.027,12.318,18.028
70690,12.541,18.027,12.406,18.027,12.318,18.011
71216,12.541,18.027,12.406,18.027,12.318,18.028
71724,12.541,18.027,12.406,18.027,12.318,18.028
72250,12.541,18.027,12.406,18.027,12.318,18.028
72732,12.541,18.027,12.406,18.027,12.318,18.028
73258,12.541,18.027,12.406,18.027,12.318,18.028
73751,12.541,18.027,12.406,18.027,12.318,18.028
74276,12.541,18.027,12.406,18.027,12.318,18.028
74785,12.541,18.027,12.406,18.027,12.318,18.028
75315,12.541,18.027,12.406,18.027,12.318,18.028
75910,12.541,18.027,12.406,18.027,12.318,18.028
76403,12.541,18.027,12.406,18.027,12.318,18.028
76960,12.541,18.027,12.389,18.027,12.318,18.028
77476,12.525,18.027,12.389,18.027,12.318,18.028
77971,12.525,18.027,12.389,18.027,12.318,18.028
78493,12.525,18.027,12.389,18.027,12.318,18.028
78996,12.525,18.027,12.389,18.027,12.318,18.028
79520,12.525,18.027,12.389,18.027,12.318,18.028
80060,12.525,18.027,12.389,18.027,12.318,18.028
80556,12.525,18.027,12.389,18.027,12.318,18.028
81074,12.525,18.027,12.389,18.027,12.318,18.028
81569,12.525,18.027,12.389,18.027,12.318,18.028
82084,12.525,18.027,12.389,18.027,12.318,18.028
82582,12.525,18.027,12.389,18.027,12.318,18.028
83110,12.525,18.027,12.389,18.027,12.318,18.028
83596,12.525,18.027,12.389,18.027,12.318,18.028
84128,12.525,18.027,12.389,18.027,12.318,18.011
84646,12.525,18.027,12.389,18.027,12.318,18.011
85141,12.525,18.027,12.389,18.027,12.318,18.028
85667,12.525,18.027,12.389,18.027,12.318,18.028
86160,12.525,18.027,12.389,18.027,12.318,18.028
86678,12.525,18.027,12.389,18.027,12.318,18.028
87202,12.525,18.027,12.389,18.027,12.318,18.028
87745,12.525,18.027,12.389,18.027,12.318,18.028
88245,12.525,18.027,12.389,18.027,12.318,18.028
88764,12.525,18.027,12.389,18.027,12.318,18.028
89280,12.525,18.027,12.389,18.027,12.318,18.011
89769,12.525,18.027,12.389,18.027,12.318,18.011
90287,12.525,18.027,12.389,18.027,12.318,18.028
90780,12.525,18.027,12.389,18.027,12.318,18.028
91312,12.525,18.027,12.389,18.027,12.318,18.028
91828,12.525,18.027,12.389,18.027,12.318,18.011
92352,12.525,18.027,12.389,18.027,12.318,18.028
92859,12.525,18.027,12.389,18.027,12.318,18.028
93386,12.525,18.027,12.389,18.027,12.318,18.028
93883,12.525,18.027,12.389,18.027,12.318,18.028
94396,12.525,18.027,12.389,18.027,12.318,18.028
94881,12.525,18.027,12.389,18.027,12.318,18.028
95399,12.525,18.027,12.389,18.027,12.318,18.011
95907,12.525,18.027,12.389,18.027,12.318,18.028
96439,12.525,18.027,12.389,18.027,12.318,18.011
96990,12.525,18.027,12.389,18.027,12.318,18.028
97489,12.525,18.027,12.389,18.027,12.318,18.011
98016,12.525,18.027,12.389,18.027,12.318,18.011
98510,12.525,18.027,12.389,18.027,12.318,18.028
99033,12.525,18.027,12.389,18.027,12.318,18.028
99532,12.525,18.027,12.389,18.027,12.318,18.028
100061,12.525,18.027,12.389,18.027,12.318,18.028
100553,12.525,18.027,12.389,18.027,12.318,18.028
101088,12.525,18.027,12.389,18.027,12.318,18.028
101588,12.525,18.027,12.389,18.027,12.318,18.028
102105,12.525,18.027,12.389,18.027,12.318,18.028
102605,12.525,18.027,12.389,18.027,12.318,18.028
103126,12.525,18.027,12.389,18.027,12.318,18.028
103612,12.525,18.027,12.389,18.027,12.318,18.028
104142,12.525,18.027,12.389,18.027,12.318,18.028
104643,12.525,18.027,12.389,18.027,12.318,18.011
105166,12.525,18.027,12.389,18.027,12.318,18.028
105661,12.525,18.027,12.389,18.027,12.318,18.011
106176,12.525,18.027,12.389,18.027,12.318,18.011
106668,12.525,18.027,12.389,18.027,12.318,18.011
107221,12.525,18.027,12.389,18.027,12.318,18.011
107759,12.525,18.027,12.389,18.027,12.318,18.028
108258,12.525,18.027,12.389,18.027,12.318,18.011
108794,12.525,18.027,12.389,18.027,12.318,18.011
109295,12.525,18.027,12.389,18.027,12.318,18.011
109811,12.525,18.027,12.389,18.027,12.318,18.011
110312,12.525,18.027,12.389,18.027,12.318,18.028
110836,12.525,18.027,12.389,18.027,12.318,18.011
111323,12.525,18.027,12.389,18.027,12.318,18.011
111849,12.525,18.027,12.389,18.027,12.318,18.028
112343,12.525,18.027,12.389,18.027,12.318,18.011
112875,12.525,18.027,12.389,18.027,12.318,18.011
113380,12.525,18.027,12.389,18.027,12.318,18.011
113906,12.525,18.027,12.389,18.027,12.318,18.011
114407,12.525,18.027,12.389,18.027,12.318,18.011
114933,12.525,18.027,12.389,18.027,12.318,18.011
115426,12.525,18.027,12.389,18.027,12.318,18.011
115971,12.525,18.027,12.389,18.027,12.318,18.011
116502,12.525,18.027,12.389,18.027,12.318,18.011
116997,12.525,18.027,12.389,18.027,12.318,18.011
117561,12.525,18.027,12.389,18.027,12.318,18.011
118070,12.525,18.027,12.389,18.027,12.318,18.011
118591,12.525,18.027,12.389,18.027,12.318,18.011
119094,12.525,18.027,12.389,18.027,12.318,18.011
119612,12.525,18.027,12.389,18.027,12.318,18.011
120155,12.525,18.027,12.389,18.027,12.318,18.011
120647,12.525,18.027,12.389,18.027,12.318,18.011
121169,12.525,18.027,12.389,18.027,12.318,18.011
121673,12.525,18.027,12.389,18.027,12.301,18.011
122200,12.525,18.027,12.389,18.027,12.301,18.011
122698,12.525,18.027,12.389,18.027,12.301,18.011
123215,12.525,18.027,12.389,18.027,12.301,18.011
123717,12.525,18.027,12.389,18.027,12.301,18.011
124244,12.525,18.027,12.389,18.027,12.301,18.011
124751,12.525,18.027,12.389,18.027,12.301,18.011
125270,12.525,18.027,12.389,18.027,12.301,18.011
125770,12.525,18.027,12.389,18.027,12.301,18.011
126281,12.525,18.027,12.389,18.027,12.301,18.011
126772,12.525,18.027,12.389,18.027,12.301,18.011
127325,12.525,18.027,12.389,18.027,12.301,18.011
127852,12.525,18.027,12.389,18.027,12.301,18.011
128346,12.525,18.027,12.389,18.027,12.301,18.011
128876,12.525,18.027,12.389,18.027,12.301,18.011
129376,12.525,18.027,12.389,18.027,12.301,18.011
129903,12.525,18.027,12.389,18.027,12.301,18.011
130396,12.525,18.027,12.389,18.027,12.301,18.011
130920,12.525,18.027,12.373,18.027,12.301,18.011
131421,12.525,18.027,12.373,18.027,12.301,18.011
131957,12.525,18.027,12.373,18.027,12.301,18.011
132451,12.525,18.027,12.373,18.027,12.301,18.011
132964,12.525,18.027,12.373,18.027,12.301,18.011
133457,12.525,18.027,12.373,18.027,12.301,18.011
133989,12.525,18.027,12.373,18.027,12.301,18.011
134478,12.525,18.027,12.373,18.027,12.301,18.011
135005,12.525,18.027,12.373,18.027,12.301,18.011
135522,12.525,18.027,12.373,18.027,12.301,18.011
136029,12.525,18.027,12.373,18.027,12.301,18.011
