18A Test,Whitesnake,Whitesnake,Tupac,Tupac,Fetty Wap,Fetty Wap
Time (ms),Voltage1 (V),Current1 (A),Voltage2 (V),Current2 (A),Voltage3 (V),Current3 (A)
60669,12.358,18.027,11.892,18.027,12.235,18.028
61215,12.358,18.027,11.892,18.027,12.235,18.028
61753,12.358,18.027,11.892,18.027,12.235,18.028
62251,12.358,18.027,11.876,18.027,12.235,18.028
62779,12.358,18.027,11.876,18.027,12.235,18.011
63283,12.358,18.027,11.876,18.027,12.235,18.028
63819,12.358,18.027,11.876,18.027,12.235,18.028
64325,12.358,18.027,11.876,18.027,12.235,18.011
64857,12.358,18.027,11.892,18.027,12.235,18.028
65384,12.358,18.027,11.892,18.027,12.235,18.028
65888,12.358,18.027,11.892,18.027,12.235,18.028
66405,12.358,18.027,11.892,18.027,12.235,18.028
66897,12.358,18.027,11.892,18.027,12.235,18.028
67423,12.358,18.027,11.892,18.027,12.235,18.028
67936,12.358,18.027,11.892,18.027,12.235,18.028
68455,12.358,18.027,11.892,18.027,12.235,18.028
68976,12.358,18.027,11.892,18.027,12.235,18.028
69474,12.358,18.027,11.892,18.027,12.235,18.028
69999,12.358,18.027,11.892,18.027,12.235,18.028
70508,12.358,18.027,11.892,18.027,12.235,18.028
71060,12.358,18.027,11.892,18.027,12.235,18.028
71565,12.375,18.027,11.892,18.027,12.235,18.011
72084,12.375,18.027,11.892,18.027,12.235,18.011
72584,12.375,18.027,11.892,18.027,12.235,18.011
73109,12.375,18.027,11.892,18.027,12.235,18.028
73617,12.375,18.027,11.892,18.027,12.235,18.011
74130,12.375,18.027,11.892,18.027,12.235,18.028
74639,12.375,18.027,11.892,18.027,12.235,18.011
75158,12.375,18.027,11.892,18.027,12.235,18.011
75669,12.375,18.027,11.892,18.027,12.235,18.011
76193,12.375,18.027,11.892,18.027,12.235,18.011
76684,12.375,18.027,11.892,18.027,12.235,18.028
77225,12.375,18.027,11.892,18.027,12.235,18.028
77754,12.375,18.027,11.892,18.027,12.235,18.011
78247,12.375,18.027,11.892,18.027,12.235,18.011
78768,12.375,18.027,11.892,18.027,12.235,18.011
79264,12.375,18.027,11.892,18.027,12.235,18.011
79801,12.375,18.027,11.892,18.027,12.235,18.011
80309,12.375,18.027,11.892,18.027,12.235,18.011
80858,12.375,18.027,11.892,18.027,12.235,18.011
81389,12.375,18.027,11.892,18.027,12.235,18.011
81891,12.375,18.027,11.892,18.027,12.235,18.011
82426,12.375,18.027,11.892,18.027,12.235,18.011
82912,12.375,18.027,11.892,18.027,12.235,18.011
83436,12.375,18.027,11.892,18.027,12.235,18.028
83940,12.375,18.027,11.892,18.027,12.235,18.011
84453,12.375,18.027,11.892,18.027,12.235,18.011
84946,12.375,18.027,11.892,18.027,12.235,18.028
85474,12.375,18.027,11.892,18.027,12.235,18.011
85964,12.375,18.027,11.892,18.027,12.235,18.011
86488,12.375,18.027,11.892,18.027,12.235,18.011
86997,12.375,18.027,11.892,18.027,12.235,18.028
87527,12.375,18.027,11.892,18.027,12.235,18.011
88049,12.375,18.027,11.909,18.027,12.235,18.011
88554,12.375,18.027,11.909,18.027,12.235,18.011
89091,12.375,18.027,11.909,18.027,12.235,18.011
89587,12.375,18.027,11.909,18.027,12.235,18.011
90108,12.375,18.027,11.909,18.027,12.235,18.011
90615,12.375,18.027,11.909,18.027,12.235,18.011
91162,12.375,18.027,11.909,18.027,12.235,18.011
91681,12.375,18.027,11.909,18.027,12.235,18.011
92180,12.375,18.027,11.909,18.027,12.235,18.011
92709,12.375,18.027,11.909,18.027,12.235,18.011
93211,12.375,18.027,11.909,18.027,12.235,18.011
93734,12.375,18.027,11.909,18.027,12.235,18.011
94238,12.375,18.027,11.909,18.027,12.235,18.011
94780,12.375,18.027,11.909,18.027,12.235,18.011
95271,12.375,18.027,11.909,18.027,12.235,18.011
