18A Test,ZZ Top,ZZ Top,Johnny Cash,Johnny Cash,Run DMC,Run DMC
Time (ms),Voltage1 (V),Current1 (A),Voltage2 (V),Current2 (A),Voltage3 (V),Current3 (A)
60224,12.275,18.027,12.141,18.043,12.119,18.028
60737,12.275,18.027,12.141,18.043,12.119,18.028
61272,12.275,18.027,12.141,18.043,12.119,18.028
61853,12.275,18.027,12.141,18.043,12.119,18.028
62374,12.292,18.027,12.141,18.043,12.119,18.028
62885,12.292,18.027,12.141,18.043,12.119,18.028
63405,12.292,18.027,12.141,18.043,12.119,18.028
63932,12.292,18.027,12.141,18.043,12.119,18.028
64430,12.292,18.027,12.141,18.043,12.119,18.028
64962,12.292,18.027,12.141,18.043,12.119,18.028
65467,12.292,18.027,12.141,18.043,12.119,18.028
65984,12.292,18.027,12.141,18.043,12.119,18.028
66480,12.292,18.027,12.141,18.043,12.119,18.028
67018,12.292,18.027,12.141,18.043,12.119,18.028
67512,12.292,18.027,12.141,18.043,12.119,18.028
68043,12.292,18.027,12.141,18.043,12.119,18.028
68546,12.292,18.027,12.141,18.043,12.119,18.028
69074,12.292,18.027,12.141,18.043,12.119,18.028
69575,12.292,18.027,12.141,18.043,12.119,18.028
70096,12.292,18.027,12.141,18.043,12.119,18.028
70585,12.292,18.027,12.141,18.043,12.119,18.028
71109,12.292,18.027,12.141,18.043,12.119,18.028
71594,12.292,18.027,12.141,18.043,12.119,18.028
72154,12.292,18.027,12.141,18.043,12.119,18.028
72688,12.292,18.027,12.141,18.043,12.119,18.028
73192,12.292,18.027,12.141,18.043,12.119,18.028
73717,12.292,18.027,12.141,18.043,12.119,18.028
74220,12.292,18.027,12.141,18.043,12.119,18.028
74738,12.292,18.027,12.141,18.043,12.119,18.028
75249,12.292,18.027,12.141,18.043,12.119,18.028
75770,12.292,18.027,12.141,18.043,12.119,18.028
76273,12.292,18.027,12.157,18.043,12.119,18.028
76795,12.292,18.027,12.157,18.043,12.119,18.028
77290,12.292,18.027,12.157,18.043,12.119,18.028
77816,12.292,18.027,12.157,18.043,12.119,18.028
78317,12.292,18.027,12.157,18.043,12.119,18.028
78841,12.292,18.027,12.157,18.043,12.119,18.028
79328,12.292,18.027,12.157,18.043,12.119,18.028
79853,12.292,18.027,12.157,18.043,12.135,18.028
80362,12.292,18.027,12.157,18.043,12.135,18.028
80896,12.292,18.027,12.157,18.043,12.135,18.028
81419,12.292,18.027,12.157,18.043,12.135,18.028
81948,12.292,18.027,12.157,18.043,12.135,18.028
82476,12.292,18.027,12.157,18.043,12.135,18.028
82994,12.292,18.027,12.157,18.043,12.135,18.028
83525,12.292,18.027,12.157,18.043,12.135,18.028
84051,12.292,18.027,12.157,18.043,12.135,18.028
84549,12.292,18.027,12.157,18.043,12.135,18.028
85074,12.292,18.027,12.157,18.043,12.135,18.028
85578,12.292,18.027,12.157,18.043,12.135,18.028
86103,12.292,18.027,12.157,18.043,12.135,18.028
86592,12.292,18.027,12.157,18.043,12.135,18.028
87123,12.292,18.027,12.157,18.043,12.135,18.028
87623,12.292,18.027,12.157,18.043,12.135,18.028
88153,12.292,18.027,12.157,18.043,12.135,18.028
88647,12.292,18.027,12.157,18.043,12.135,18.028
89169,12.292,18.027,12.157,18.043,12.135,18.028
89647,12.292,18.027,12.157,18.043,12.135,18.028
90171,12.292,18.027,12.157,18.043,12.135,18.028
90681,12.292,18.027,12.157,18.043,12.135,18.028
91215,12.292,18.027,12.157,18.043,12.135,18.028
91774,12.292,18.027,12.157,18.043,12.135,18.028
92274,12.292,18.027,12.157,18.043,12.135,18.028
92798,12.292,18.027,12.157,18.043,12.135,18.028
93295,12.292,18.027,12.157,18.043,12.135,18.028
93814,12.308,18.027,12.157,18.043,12.135,18.028
94340,12.308,18.027,12.157,18.043,12.135,18.028
94879,12.308,18.027,12.157,18.043,12.135,18.028
95406,12.308,18.027,12.157,18.043,12.135,18.028
95904,12.308,18.027,12.157,18.043,12.135,18.028
96428,12.308,18.027,12.157,18.043,12.135,18.028
96933,12.308,18.027,12.157,18.043,12.135,18.028
97460,12.308,18.027,12.157,18.043,12.135,18.028
97945,12.308,18.027,12.157,18.043,12.135,18.028
98473,12.308,18.027,12.157,18.043,12.135,18.028
98982,12.308,18.027,12.157,18.043,12.135,18.028
99507,12.308,18.027,12.157,18.043,12.135,18.028
100016,12.308,18.027,12.157,18.043,12.135,18.028
100546,12.308,18.027,12.157,18.043,12.135,18.028
101078,12.308,18.027,12.157,18.043,12.135,18.028
101570,12.308,18.027,12.157,18.043,12.135,18.028
102097,12.308,18.027,12.157,18.043,12.135,18.028
102594,12.308,18.027,12.157,18.043,12.135,18.028
103128,12.308,18.027,12.157,18.027,12.135,18.028
103624,12.308,18.027,12.157,18.043,12.135,18.028
104183,12.308,18.027,12.157,18.043,12.135,18.028
104711,12.308,18.027,12.157,18.043,12.135,18.028
105209,12.308,18.027,12.157,18.043,12.135,18.028
105731,12.308,18.027,12.157,18.043,12.135,18.028
106216,12.308,18.027,12.157,18.043,12.135,18.028
106748,12.308,18.027,12.157,18.043,12.135,18.028
107277,12.308,18.027,12.157,18.043,12.135,18.028
107816,12.308,18.027,12.157,18.027,12.135,18.028
108358,12.308,18.027,12.157,18.043,12.135,18.028
108854,12.308,18.027,12.157,18.043,12.135,18.028
109369,12.308,18.027,12.157,18.043,12.135,18.028
109861,12.308,18.027,12.157,18.043,12.135,18.028
110390,12.308,18.027,12.157,18.043,12.135,18.028
110912,12.308,18.027,12.157,18.043,12.135,18.028
111433,12.308,18.027,12.157,18.043,12.135,18.028
111934,12.308,18.027,12.157,18.043,12.135,18.028
112458,12.308,18.027,12.157,18.027,12.135,18.028
112953,12.308,18.027,12.157,18.043,12.135,18.028
113473,12.308,18.027,12.157,18.027,12.135,18.028
113971,12.308,18.027,12.141,18.043,12.135,18.028
114522,12.308,18.027,12.157,18.043,12.135,18.028
115063,12.308,18.027,12.157,18.043,12.135,18.028
115551,12.308,18.027,12.141,18.043,12.135,18.028
116074,12.308,18.027,12.141,18.043,12.135,18.028
116579,12.308,18.027,12.141,18.043,12.135,18.028
117097,12.308,18.027,12.141,18.027,12.135,18.028
117603,12.308,18.027,12.141,18.043,12.135,18.028
118126,12.308,18.027,12.141,18.027,12.135,18.028
118629,12.308,18.027,12.141,18.043,12.135,18.028
119152,12.308,18.027,12.141,18.043,12.135,18.028
119653,12.308,18.027,12.141,18.043,12.135,18.028
120181,12.308,18.027,12.141,18.043,12.135,18.028
120686,12.308,18.027,12.141,18.027,12.135,18.028
121213,12.308,18.027,12.141,18.043,12.135,18.028
121713,12.308,18.027,12.141,18.043,12.135,18.028
122220,12.308,18.027,12.141,18.027,12.135,18.028
122720,12.308,18.027,12.141,18.043,12.135,18.028
123262,12.308,18.027,12.141,18.043,12.135,18.028
123766,12.308,18.027,12.141,18.027,12.135,18.028
124316,12.308,18.027,12.141,18.027,12.135,18.028
124844,12.308,18.027,12.141,18.027,12.135,18.028
