18A Test,Ed Sheeran,Ed Sheeran,Tesseract,Tesseract,BLUE-04284-HA,BLUE-04284-HA
Time (ms),Voltage1 (V),Current1 (A),Voltage2 (V),Current2 (A),Voltage3 (V),Current3 (A)
59460,12.491,18.027,12.29,18.027,11.787,18.028
60018,12.491,18.027,12.29,18.027,11.787,18.028
60527,12.491,18.027,12.29,18.027,11.77,18.028
61049,12.491,18.027,12.29,18.027,11.77,18.028
61552,12.491,18.027,12.29,18.027,11.77,18.028
62073,12.491,18.027,12.29,18.027,11.77,18.028
62574,12.491,18.027,12.29,18.027,11.77,18.028
63104,12.491,18.027,12.29,18.027,11.77,18.028
63596,12.491,18.027,12.29,18.027,11.754,18.028
64117,12.491,18.027,12.29,18.027,11.754,18.028
64626,12.491,18.027,12.29,18.027,11.754,18.028
65151,12.491,18.027,12.29,18.027,11.754,18.028
65682,12.491,18.027,12.29,18.027,11.754,18.028
66176,12.491,18.027,12.29,18.027,11.754,18.028
66694,12.491,18.027,12.29,18.027,11.754,18.028
67192,12.491,18.027,12.29,18.027,11.754,18.028
67729,12.491,18.027,12.29,18.027,11.737,18.028
68220,12.491,18.027,12.29,18.027,11.737,18.028
68747,12.491,18.027,12.29,18.027,11.737,18.028
69309,12.491,18.027,12.29,18.027,12.434,-0.01
69810,12.491,18.027,12.29,18.027,12.483,-0.01
70355,12.491,18.027,12.29,18.027,12.5,-0.01
70848,12.491,18.027,12.29,18.027,12.533,-0.01
71367,12.491,18.027,12.29,18.027,12.55,-0.01
71846,12.491,18.027,12.29,18.027,12.55,-0.01
72360,12.491,18.027,12.29,18.027,12.566,-0.01
72846,12.491,18.027,12.29,18.027,12.583,-0.01
73364,12.491,18.027,12.29,18.027,12.583,-0.01
73850,12.491,18.027,12.29,18.027,12.6,-0.01
74371,12.491,18.027,12.29,18.027,12.6,-0.01
74856,12.491,18.027,12.29,18.027,12.616,-0.01
75368,12.491,18.027,12.29,18.027,12.616,-0.01
75862,12.491,18.027,12.29,18.027,12.616,-0.01
76379,12.491,18.027,12.29,18.027,12.633,-0.01
76868,12.491,18.027,12.29,18.027,12.633,-0.01
77388,12.491,18.027,12.29,18.027,12.633,-0.01
77882,12.491,18.027,12.29,18.027,12.649,-0.01
78400,12.491,18.027,12.29,18.027,12.649,-0.01
78893,12.491,18.027,12.29,18.027,12.649,-0.01
79398,12.491,18.027,12.29,18.027,12.649,-0.01
79895,12.491,18.027,12.29,18.027,12.666,-0.01
80433,12.491,18.027,12.29,18.027,12.666,-0.01
80956,12.491,18.027,12.29,18.027,12.666,-0.01
81445,12.491,18.027,12.29,18.027,12.666,-0.01
81978,12.491,18.027,12.29,18.027,12.666,-0.01
82464,12.491,18.027,12.29,18.027,12.666,-0.01
82976,12.491,18.027,12.29,18.027,12.682,-0.01
83462,12.491,18.027,12.29,18.027,12.682,-0.01
83970,12.491,18.027,12.29,18.027,12.682,-0.01
84463,12.491,18.027,12.29,18.027,12.682,-0.01
84981,12.491,18.027,12.29,18.027,12.682,-0.01
85481,12.491,18.027,12.29,18.027,12.682,-0.01
86013,12.491,18.027,12.29,18.027,12.682,-0.01
86499,12.491,18.027,12.29,18.027,12.682,-0.01
87016,12.491,18.027,12.29,18.027,12.699,-0.01
87500,12.491,18.027,12.29,18.027,12.699,-0.01
88018,12.491,18.027,12.29,18.027,12.699,-0.01
88516,12.491,18.027,12.29,18.027,12.699,-0.01
89025,12.491,18.027,12.29,18.027,12.699,-0.01
89520,12.491,18.027,12.29,18.027,12.699,-0.01
90062,12.491,18.027,12.29,18.027,12.699,-0.01
90549,12.491,18.027,12.29,18.027,12.699,-0.01
