18A Test,,,,,BLACK-KOP-YH201812,BLACK-KOP-YH201812
Time (ms),Voltage1 (V),Current1 (A),Voltage2 (V),Current2 (A),Voltage3 (V),Current3 (A)
213586,-0.147,-0.001,-0.138,0.003,11.77,18.028
214042,-0.147,-0.001,-0.138,0.003,11.77,18.028
214520,-0.147,-0.001,-0.138,0.003,11.77,18.028
214988,-0.147,-0.001,-0.138,0.003,11.77,18.028
215457,-0.147,-0.001,-0.138,0.003,11.754,18.028
215920,-0.147,-0.001,-0.138,0.003,11.754,18.028
216400,-0.147,-0.001,-0.138,0.003,11.754,18.028
216860,-0.147,-0.001,-0.138,0.003,11.754,18.028
217333,-0.147,-0.001,-0.138,0.003,11.754,18.011
217788,-0.147,-0.001,-0.138,0.003,11.754,18.028
218270,-0.147,-0.001,-0.138,0.003,11.754,18.028
218725,-0.147,-0.001,-0.138,0.003,11.754,18.011
219218,-0.147,-0.001,-0.138,0.003,11.754,18.028
219674,-0.147,-0.001,-0.138,0.003,11.754,18.028
220151,-0.147,-0.001,-0.138,0.003,11.754,18.011
220617,-0.147,-0.001,-0.138,0.003,11.754,18.028
221106,-0.147,-0.001,-0.138,0.003,11.754,18.028
221569,-0.147,-0.001,-0.138,0.003,11.754,18.028
222079,-0.147,-0.001,-0.138,0.003,11.754,18.028
222539,-0.147,-0.001,-0.138,0.003,11.754,18.028
223023,-0.147,-0.001,-0.138,0.003,11.754,18.011
223481,-0.147,-0.001,-0.138,0.003,11.754,18.028
223954,-0.147,-0.001,-0.138,0.003,11.754,18.028
224407,-0.147,-0.001,-0.138,0.003,11.754,18.011
224890,-0.147,-0.001,-0.138,0.003,11.754,18.011
225353,-0.147,-0.001,-0.138,0.003,11.754,18.028
225827,-0.147,-0.001,-0.138,0.003,11.754,18.028
226287,-0.147,-0.001,-0.138,0.003,11.754,18.011
226769,-0.147,-0.001,-0.138,0.003,11.754,18.011
227239,-0.147,-0.001,-0.138,0.003,11.754,18.028
227718,-0.147,-0.001,-0.138,0.003,11.754,18.028
228178,-0.147,-0.001,-0.138,0.003,11.754,18.028
228654,-0.147,-0.001,-0.138,0.003,11.754,18.028
229106,-0.147,-0.001,-0.138,0.003,11.754,18.011
229584,-0.147,-0.001,-0.138,0.003,11.754,18.011
230038,-0.147,-0.001,-0.138,0.003,11.754,18.011
230523,-0.147,-0.001,-0.138,0.003,11.754,18.028
230994,-0.147,-0.001,-0.138,0.003,11.754,18.028
231474,-0.147,-0.001,-0.138,0.003,11.754,18.011
231960,-0.147,-0.001,-0.138,0.003,11.754,18.011
232441,-0.147,-0.001,-0.138,0.003,11.754,18.028
232904,-0.147,-0.001,-0.138,0.003,11.754,18.011
233386,-0.147,-0.001,-0.138,0.003,11.754,18.011
233856,-0.147,-0.001,-0.138,0.003,11.754,18.011
234319,-0.147,-0.001,-0.138,0.003,11.754,18.011
234793,-0.147,-0.001,-0.138,0.003,11.754,18.011
235261,-0.147,-0.001,-0.138,0.003,11.754,18.028
235738,-0.147,-0.001,-0.138,0.003,11.754,18.028
236192,-0.147,-0.001,-0.138,0.003,11.754,18.028
236680,-0.147,-0.001,-0.138,0.003,11.754,18.028
237142,-0.147,-0.001,-0.138,0.003,11.754,18.028
237627,-0.147,-0.001,-0.138,0.003,11.754,18.028
238086,-0.147,-0.001,-0.138,0.003,11.754,18.028
238571,-0.147,-0.001,-0.138,0.003,11.754,18.028
239033,-0.147,-0.001,-0.138,0.003,11.754,18.028
239514,-0.147,-0.001,-0.138,0.003,11.754,18.028
239967,-0.147,-0.001,-0.138,0.003,11.754,18.028
240450,-0.147,-0.001,-0.138,0.003,11.754,18.028
240908,-0.147,-0.001,-0.138,0.003,11.754,18.028
241391,-0.147,-0.001,-0.138,0.003,11.754,18.028
241886,-0.147,-0.001,-0.138,0.003,11.754,18.028
242363,-0.147,-0.001,-0.138,0.003,11.754,18.028
242822,-0.147,-0.001,-0.138,0.003,11.754,18.028
243308,-0.147,-0.001,-0.138,0.003,11.754,18.028
243773,-0.147,-0.001,-0.138,0.003,11.754,18.028
244262,-0.147,-0.001,-0.138,0.003,11.754,18.011
244723,-0.147,-0.001,-0.138,0.003,11.754,18.011
245200,-0.147,-0.001,-0.138,0.003,11.754,18.028
245647,-0.147,-0.001,-0.138,0.003,11.754,18.011
246126,-0.147,-0.001,-0.138,0.003,11.754,18.011
246581,-0.147,-0.001,-0.138,0.003,11.754,18.028
247079,-0.147,-0.001,-0.138,0.003,11.754,18.011
247539,-0.147,-0.001,-0.138,0.003,11.754,18.011
248018,-0.147,-0.001,-0.138,0.003,11.754,18.011
248469,-0.147,-0.001,-0.138,0.003,11.754,18.011
248946,-0.147,-0.001,-0.138,0.003,11.754,18.011
249408,-0.147,-0.001,-0.138,0.003,11.754,18.011
249887,-0.147,-0.001,-0.138,0.003,11.754,18.028
250339,-0.147,-0.001,-0.138,0.003,11.754,18.028
250820,-0.147,-0.001,-0.138,0.003,11.754,18.011
251294,-0.147,-0.001,-0.138,0.003,11.737,18.028
251847,-0.147,-0.001,-0.138,0.003,11.737,18.028
252330,-0.147,-0.001,-0.138,0.003,11.737,18.011
