18A Test,,,,,BLACK-KOP-YH201812,BLACK-KOP-YH201812
Time (ms),Voltage1 (V),Current1 (A),Voltage2 (V),Current2 (A),Voltage3 (V),Current3 (A)
49275,-0.147,-0.001,-0.138,0.003,11.787,18.028
49735,-0.147,-0.001,-0.138,0.003,11.787,18.028
50207,-0.147,-0.001,-0.138,0.003,11.787,18.028
50672,-0.147,-0.001,-0.138,0.003,11.787,18.028
51191,-0.147,-0.001,-0.138,0.003,11.787,18.028
51657,-0.147,-0.001,-0.138,0.003,11.787,18.028
52139,-0.147,-0.001,-0.138,0.003,11.787,18.028
52607,-0.147,-0.001,-0.138,0.003,11.787,18.028
53091,-0.147,-0.001,-0.138,0.003,11.787,18.028
53546,-0.147,-0.001,-0.138,0.003,11.787,18.028
54028,-0.147,-0.001,-0.138,0.003,11.787,18.028
54485,-0.147,-0.001,-0.138,0.003,11.787,18.028
54967,-0.147,-0.001,-0.138,0.003,11.787,18.028
55431,-0.147,-0.001,-0.138,0.003,11.787,18.028
55911,-0.147,-0.001,-0.138,0.003,11.787,18.028
56366,-0.147,-0.001,-0.138,0.003,11.787,18.028
56845,-0.147,-0.001,-0.138,0.003,11.787,18.028
57316,-0.147,-0.001,-0.138,0.003,11.787,18.028
57795,-0.147,-0.001,-0.138,0.003,11.787,18.028
58257,-0.147,-0.001,-0.138,0.003,11.787,18.028
58732,-0.147,-0.001,-0.138,0.003,11.787,18.028
59195,-0.147,-0.001,-0.138,0.003,11.787,18.028
59677,-0.147,-0.001,-0.138,0.003,11.787,18.028
60142,-0.147,-0.001,-0.138,0.003,11.787,18.028
60612,-0.147,-0.001,-0.138,0.003,11.787,18.028
61098,-0.147,-0.001,-0.138,0.003,11.787,18.028
61576,-0.147,-0.001,-0.138,0.003,11.787,18.028
62035,-0.147,-0.001,-0.138,0.003,11.787,18.028
62510,-0.147,-0.001,-0.138,0.003,11.787,18.028
62964,-0.147,-0.001,-0.138,0.003,11.787,18.028
63450,-0.147,-0.001,-0.138,0.003,11.787,18.028
63910,-0.147,-0.001,-0.138,0.003,11.787,18.028
64389,-0.147,-0.001,-0.138,0.003,11.787,18.028
64842,-0.147,-0.001,-0.138,0.003,11.787,18.028
65321,-0.147,-0.001,-0.138,0.003,11.787,18.028
65782,-0.147,-0.001,-0.138,0.003,11.787,18.028
66259,-0.147,-0.001,-0.138,0.003,11.787,18.028
66713,-0.147,-0.001,-0.138,0.003,11.787,18.028
67206,-0.147,-0.001,-0.138,0.003,11.787,18.028
67673,-0.147,-0.001,-0.138,0.003,11.787,18.028
68154,-0.147,-0.001,-0.138,0.003,11.787,18.028
68607,-0.147,-0.001,-0.138,0.003,11.787,18.028
69085,-0.147,-0.001,-0.138,0.003,11.787,18.028
69541,-0.147,-0.001,-0.138,0.003,11.787,18.028
70017,-0.147,-0.001,-0.138,0.003,11.787,18.028
70470,-0.147,-0.001,-0.138,0.003,11.787,18.028
70994,-0.147,-0.001,-0.138,0.003,11.787,18.028
71461,-0.147,-0.001,-0.138,0.003,11.787,18.028
71939,-0.147,-0.001,-0.138,0.003,11.787,18.028
72395,-0.147,-0.001,-0.138,0.003,11.787,18.028
72870,-0.147,-0.001,-0.138,0.003,11.787,18.028
73360,-0.147,-0.001,-0.138,0.003,11.787,18.028
73813,-0.147,-0.001,-0.138,0.003,11.787,18.028
74287,-0.147,-0.001,-0.138,0.003,11.787,18.028
74739,-0.147,-0.001,-0.138,0.003,11.787,18.028
75227,-0.147,-0.001,-0.138,0.003,11.787,18.028
75681,-0.147,-0.001,-0.138,0.003,11.787,18.028
76169,-0.147,-0.001,-0.138,0.003,11.787,18.028
76630,-0.147,-0.001,-0.138,0.003,11.787,18.028
77107,-0.147,-0.001,-0.138,0.003,11.787,18.028
77557,-0.147,-0.001,-0.138,0.003,11.787,18.028
78036,-0.147,-0.001,-0.138,0.003,11.787,18.028
78500,-0.147,-0.001,-0.138,0.003,11.787,18.028
78975,-0.147,-0.001,-0.138,0.003,11.787,18.028
79443,-0.147,-0.001,-0.138,0.003,11.787,18.028
79930,-0.147,-0.001,-0.138,0.003,11.787,18.028
80383,-0.147,-0.001,-0.138,0.003,11.787,18.028
80894,-0.147,-0.001,-0.138,0.003,11.787,18.028
81355,-0.147,-0.001,-0.138,0.003,11.787,18.028
81838,-0.147,-0.001,-0.138,0.003,11.787,18.028
82294,-0.147,-0.001,-0.138,0.003,11.787,18.028
82780,-0.147,-0.001,-0.138,0.003,11.787,18.028
83255,-0.147,-0.001,-0.138,0.003,11.787,18.028
83739,-0.147,-0.001,-0.138,0.003,11.787,18.028
84188,-0.147,-0.001,-0.138,0.003,11.787,18.028
84670,-0.147,-0.001,-0.138,0.003,11.787,18.028
85131,-0.147,-0.001,-0.138,0.003,11.787,18.028
85608,-0.147,-0.001,-0.138,0.003,11.787,18.028
86062,-0.147,-0.001,-0.138,0.003,11.787,18.028
86551,-0.147,-0.001,-0.138,0.003,11.787,18.028
87014,-0.147,-0.001,-0.138,0.003,11.787,18.028
87495,-0.147,-0.001,-0.138,0.003,11.787,18.028
87958,-0.147,-0.001,-0.138,0.003,11.787,18.028
88429,-0.147,-0.001,-0.138,0.003,11.787,18.028
88889,-0.147,-0.001,-0.138,0.003,11.787,18.028
89361,-0.147,-0.001,-0.138,0.003,11.787,18.028
89820,-0.147,-0.001,-0.138,0.003,11.787,18.028
90296,-0.147,-0.001,-0.138,0.003,11.787,18.028
90752,-0.147,-0.001,-0.138,0.003,11.787,18.028
91273,-0.147,-0.001,-0.138,0.003,11.787,18.028
91732,-0.147,-0.001,-0.138,0.003,11.787,18.028
92207,-0.147,-0.001,-0.138,0.003,11.787,18.028
92654,-0.147,-0.001,-0.138,0.003,11.787,18.028
93135,-0.147,-0.001,-0.138,0.003,11.787,18.028
93599,-0.147,-0.001,-0.138,0.003,11.787,18.028
94078,-0.147,-0.001,-0.138,0.003,11.787,18.028
94535,-0.147,-0.001,-0.138,0.003,11.787,18.028
95026,-0.147,-0.001,-0.138,0.003,11.787,18.028
95483,-0.147,-0.001,-0.138,0.003,11.787,18.028
95965,-0.147,-0.001,-0.138,0.003,11.787,18.028
96421,-0.147,-0.001,-0.138,0.003,11.787,18.028
96900,-0.147,-0.001,-0.138,0.003,11.787,18.028
97368,-0.147,-0.001,-0.138,0.003,11.787,18.028
97848,-0.147,-0.001,-0.138,0.003,11.787,18.028
98304,-0.147,-0.001,-0.138,0.003,11.787,18.028
98778,-0.147,-0.001,-0.138,0.003,11.787,18.028
99244,-0.147,-0.001,-0.138,0.003,11.787,18.028
99722,-0.147,-0.001,-0.138,0.003,11.787,18.028
100182,-0.147,-0.001,-0.138,0.003,11.787,18.028
100657,-0.147,-0.001,-0.138,0.003,11.787,18.028
101124,-0.147,-0.001,-0.138,0.003,11.787,18.028
101616,-0.147,-0.001,-0.138,0.003,11.787,18.028
102088,-0.147,-0.001,-0.138,0.003,11.787,18.028
102566,-0.147,-0.001,-0.138,0.003,11.787,18.028
103025,-0.147,-0.001,-0.138,0.003,11.787,18.028
103510,-0.147,-0.001,-0.138,0.003,11.787,18.028
103961,-0.147,-0.001,-0.138,0.003,11.787,18.028
104423,-0.147,-0.001,-0.138,0.003,11.787,18.028
104884,-0.147,-0.001,-0.138,0.003,11.787,18.028
105381,-0.147,-0.001,-0.138,0.003,11.787,18.028
105841,-0.147,-0.001,-0.138,0.003,11.787,18.028
106322,-0.147,-0.001,-0.138,0.003,11.787,18.028
106789,-0.147,-0.001,-0.138,0.003,11.787,18.028
107281,-0.147,-0.001,-0.138,0.003,11.787,18.028
107750,-0.147,-0.001,-0.138,0.003,11.787,18.028
108239,-0.147,-0.001,-0.138,0.003,11.787,18.028
108715,-0.147,-0.001,-0.138,0.003,11.787,18.028
109192,-0.147,-0.001,-0.138,0.003,11.787,18.028
109651,-0.147,-0.001,-0.138,0.003,11.787,18.028
110131,-0.147,-0.001,-0.138,0.003,11.787,18.028
110586,-0.147,-0.001,-0.138,0.003,11.787,18.028
111101,-0.147,-0.001,-0.138,0.003,11.787,18.028
111559,-0.147,-0.001,-0.138,0.003,11.787,18.028
112047,-0.147,-0.001,-0.138,0.003,11.787,18.028
112513,-0.147,-0.001,-0.138,0.003,11.787,18.028
112984,-0.147,-0.001,-0.138,0.003,11.787,18.028
113442,-0.147,-0.001,-0.138,0.003,11.787,18.028
113940,-0.147,-0.001,-0.138,0.003,11.787,18.028
114392,-0.147,-0.001,-0.138,0.003,11.787,18.028
