18A Test,ACDC,ACDC,,,Kanye West,Kanye West
Time (ms),Voltage1 (V),Current1 (A),Voltage2 (V),Current2 (A),Voltage3 (V),Current3 (A)
56524,12.525,18.027,-0.138,0.003,11.919,18.011
57030,12.525,18.027,-0.138,0.003,11.919,18.028
57516,12.525,18.027,-0.138,0.003,11.919,18.028
58024,12.525,18.027,-0.138,0.003,11.919,18.011
58496,12.525,18.027,-0.138,0.003,11.919,18.028
58996,12.525,18.027,-0.138,0.003,11.919,18.028
59477,12.525,18.027,-0.138,0.003,11.919,18.011
59973,12.525,18.027,-0.138,0.003,11.919,18.011
60451,12.525,18.027,-0.138,0.003,11.919,18.028
60953,12.525,18.027,-0.138,0.003,11.919,18.028
61435,12.525,18.027,-0.138,0.003,11.919,18.028
61951,12.525,18.027,-0.138,0.003,11.919,18.011
62429,12.525,18.027,-0.138,0.003,11.919,18.028
62940,12.525,18.027,-0.138,0.003,11.919,18.028
63421,12.525,18.027,-0.138,0.003,11.919,18.028
63931,12.525,18.027,-0.138,0.003,11.919,18.011
64446,12.525,18.027,-0.138,0.003,11.919,18.028
64955,12.525,18.027,-0.138,0.003,11.919,18.011
65465,12.525,18.027,-0.138,0.003,11.919,18.028
65947,12.525,18.027,-0.138,0.003,11.919,18.011
66459,12.525,18.027,-0.138,0.003,11.919,18.028
66938,12.525,18.027,-0.138,0.003,11.919,18.011
67440,12.525,18.027,-0.138,0.003,11.936,18.011
67915,12.525,18.027,-0.138,0.003,11.936,18.028
68419,12.525,18.027,-0.138,0.003,11.936,18.011
68902,12.525,18.027,-0.138,0.003,11.936,18.028
69409,12.525,18.027,-0.138,0.003,11.936,18.011
69892,12.525,18.027,-0.138,0.003,11.936,18.011
70409,12.525,18.027,-0.138,0.003,11.936,18.028
70880,12.525,18.027,-0.138,0.003,11.936,18.011
71389,12.525,18.027,-0.138,0.003,11.936,18.011
71866,12.525,18.027,-0.138,0.003,11.936,18.011
72375,12.525,18.027,-0.138,0.003,11.936,18.011
72854,12.525,18.027,-0.138,0.003,11.936,18.028
73360,12.525,18.027,-0.138,0.003,11.936,18.011
73835,12.525,18.027,-0.138,0.003,11.936,18.011
74366,12.525,18.027,-0.138,0.003,11.936,18.011
74838,12.525,18.027,-0.138,0.003,11.936,18.011
75342,12.525,18.027,-0.138,0.003,11.936,18.011
75851,12.525,18.027,-0.138,0.003,11.936,18.011
76343,12.525,18.027,-0.138,0.003,11.936,18.011
76851,12.525,18.027,-0.138,0.003,11.936,18.028
77333,12.525,18.027,-0.138,0.003,11.936,18.011
77849,12.525,18.027,-0.138,0.003,11.936,18.011
78346,12.525,18.027,-0.138,0.003,11.936,18.011
78852,12.525,18.027,-0.138,0.003,11.936,18.011
79335,12.525,18.027,-0.138,0.003,11.936,18.011
79837,12.525,18.027,-0.138,0.003,11.936,18.011
80315,12.525,18.027,-0.138,0.003,11.936,18.011
80830,12.525,18.027,-0.138,0.003,11.936,18.011
81304,12.525,18.027,-0.138,0.003,11.936,18.011
81806,12.525,18.027,-0.138,0.003,11.936,18.011
82292,12.525,18.027,-0.138,0.003,11.936,18.011
82800,12.525,18.027,-0.138,0.003,11.936,18.028
83285,12.525,18.027,-0.138,0.003,11.936,18.011
83786,12.525,18.027,-0.138,0.003,11.936,18.011
84265,12.525,18.027,-0.138,0.003,11.936,18.011
84794,12.525,18.027,-0.138,0.003,11.936,18.011
85265,12.525,18.027,-0.138,0.003,11.936,18.011
85774,12.525,18.027,-0.138,0.003,11.936,18.011
86242,12.525,18.027,-0.138,0.003,11.936,18.011
86759,12.525,18.027,-0.138,0.003,11.936,18.011
87246,12.525,18.027,-0.138,0.003,11.936,18.011
87745,12.525,18.027,-0.138,0.003,11.936,18.011
88229,12.525,18.027,-0.138,0.003,11.936,18.011
88730,12.525,18.027,-0.138,0.003,11.936,18.011
89208,12.525,18.027,-0.138,0.003,11.936,18.011
89717,12.525,18.027,-0.138,0.003,11.936,18.011
90195,12.525,18.027,-0.138,0.003,11.936,18.011
90724,12.525,18.027,-0.138,0.003,11.936,18.011
91211,12.525,18.027,-0.138,0.003,11.936,18.011
91720,12.525,18.027,-0.138,0.003,11.936,18.011
92200,12.525,18.027,-0.138,0.003,11.936,18.011
92711,12.525,18.027,-0.138,0.003,11.936,18.011
93191,12.525,18.027,-0.138,0.003,11.936,18.011
93704,12.525,18.027,-0.138,0.003,11.936,18.011
94176,12.525,18.027,-0.138,0.003,11.936,18.011
94715,12.525,18.027,-0.138,0.003,11.936,18.011
95198,12.525,18.027,-0.138,0.003,11.936,18.011
95705,12.525,18.027,-0.138,0.003,11.936,18.011
96213,12.525,18.027,-0.138,0.003,11.936,18.011
96693,12.525,18.027,-0.138,0.003,11.936,18.011
97194,12.525,18.027,-0.138,0.003,11.936,18.011
97688,12.525,18.027,-0.138,0.003,11.936,18.011
98190,12.525,18.027,-0.138,0.003,11.936,18.011
98675,12.525,18.027,-0.138,0.003,11.936,18.011
99191,12.525,18.027,-0.138,0.003,11.936,18.011
99673,12.525,18.027,-0.138,0.003,11.936,18.011
100176,12.525,18.027,-0.138,0.003,11.936,18.011
100667,12.525,18.027,-0.138,0.003,11.936,18.011
101173,12.525,18.027,-0.138,0.003,11.936,18.011
101650,12.525,18.027,-0.138,0.003,11.936,18.011
102163,12.525,18.027,-0.138,0.003,11.936,18.011
102647,12.525,18.027,-0.138,0.003,11.936,18.011
103157,12.525,18.027,-0.138,0.003,11.936,18.011
103650,12.525,18.027,-0.138,0.003,11.936,18.011
104156,12.525,18.027,-0.138,0.003,11.936,18.011
104700,12.525,18.027,-0.138,0.003,11.936,18.011
105179,12.525,18.027,-0.138,0.003,11.953,18.011
105691,12.525,18.027,-0.138,0.003,11.936,18.011
106173,12.525,18.027,-0.138,0.003,11.953,18.011
106683,12.525,18.027,-0.138,0.003,11.953,18.011
107168,12.525,18.027,-0.138,0.003,11.953,18.011
107686,12.525,18.027,-0.138,0.003,11.953,18.011
108159,12.525,18.027,-0.138,0.003,11.953,18.011
108671,12.525,18.027,-0.138,0.003,11.953,18.011
109144,12.525,18.027,-0.138,0.003,11.953,18.011
109658,12.525,18.027,-0.138,0.003,11.953,18.011
110143,12.525,18.027,-0.138,0.003,11.953,18.011
110659,12.525,18.027,-0.138,0.003,11.953,18.011
111150,12.525,18.027,-0.138,0.003,11.953,18.011
111651,12.525,18.027,-0.138,0.003,11.953,18.011
112135,12.525,18.027,-0.138,0.003,11.953,18.011
112643,12.525,18.027,-0.138,0.003,11.953,18.011
