18A Test,ACDC,ACDC,,,Kanye West,Kanye West
Time (ms),Voltage1 (V),Current1 (A),Voltage2 (V),Current2 (A),Voltage3 (V),Current3 (A)
234200,12.491,18.027,-0.138,0.003,11.936,18.011
234717,12.491,18.027,-0.138,0.003,11.936,18.011
235195,12.491,18.027,-0.138,0.003,11.936,18.011
235698,12.491,18.027,-0.138,0.003,11.936,18.011
236202,12.491,18.027,-0.138,0.003,11.936,18.011
236705,12.491,18.027,-0.138,0.003,11.936,18.011
237186,12.491,18.027,-0.138,0.003,11.936,18.011
237684,12.491,18.027,-0.138,0.003,11.936,18.011
238164,12.491,18.027,-0.138,0.003,11.936,18.011
238681,12.491,18.027,-0.138,0.003,11.936,18.011
239163,12.491,18.027,-0.138,0.003,11.936,18.011
239661,12.491,18.027,-0.138,0.003,11.936,18.011
240139,12.491,18.027,-0.138,0.003,11.936,18.011
240643,12.491,18.027,-0.138,0.003,11.936,18.011
241124,12.491,18.027,-0.138,0.003,11.936,18.011
241613,12.491,18.027,-0.138,0.003,11.936,18.011
242079,12.491,18.027,-0.138,0.003,11.936,18.011
242603,12.491,18.027,-0.138,0.003,11.936,18.011
243079,12.491,18.027,-0.138,0.003,11.936,18.011
243593,12.491,18.027,-0.138,0.003,11.936,18.011
244071,12.491,18.027,-0.138,0.003,11.936,18.011
244565,12.491,18.027,-0.138,0.003,11.936,18.011
245043,12.491,18.027,-0.138,0.003,11.936,18.011
245540,12.491,18.027,-0.138,0.003,11.936,18.011
246014,12.491,18.027,-0.138,0.003,11.936,18.011
246559,12.491,18.027,-0.138,0.003,11.936,18.011
247071,12.491,18.027,-0.138,0.003,11.936,18.011
247560,12.491,18.027,-0.138,0.003,11.936,18.011
248060,12.491,18.027,-0.138,0.003,11.936,18.011
248544,12.491,18.027,-0.138,0.003,11.936,18.011
249051,12.491,18.027,-0.138,0.003,11.936,18.011
249521,12.491,18.027,-0.138,0.003,11.936,18.011
250033,12.491,18.027,-0.138,0.003,11.936,18.011
250514,12.491,18.027,-0.138,0.003,11.936,18.011
251016,12.475,18.027,-0.138,0.003,11.936,18.011
251527,12.475,18.027,-0.138,0.003,11.936,18.011
252086,12.475,18.027,-0.138,0.003,11.936,18.011
252645,12.475,18.027,-0.138,0.003,11.936,18.011
253130,12.475,18.027,-0.138,0.003,11.936,18.011
253634,12.475,18.027,-0.138,0.003,11.936,18.011
254112,12.475,18.027,-0.138,0.003,11.936,18.011
254631,12.475,18.027,-0.138,0.003,11.936,18.011
255105,12.475,18.027,-0.138,0.003,11.936,18.011
255609,12.475,18.027,-0.138,0.003,11.936,18.011
256096,12.475,18.027,-0.138,0.003,11.936,18.011
256606,12.475,18.027,-0.138,0.003,11.936,18.011
257087,12.475,18.027,-0.138,0.003,11.936,18.011
257596,12.475,18.027,-0.138,0.003,11.936,18.011
258075,12.475,18.027,-0.138,0.003,11.936,18.011
258597,12.475,18.027,-0.138,0.003,11.936,18.011
259081,12.475,18.027,-0.138,0.003,11.936,18.011
259584,12.475,18.027,-0.138,0.003,11.936,18.011
260058,12.475,18.027,-0.138,0.003,11.936,18.011
260565,12.475,18.027,-0.138,0.003,11.936,18.011
261040,12.475,18.027,-0.138,0.003,11.936,18.011
261549,12.475,18.027,-0.138,0.003,11.936,18.011
262026,12.475,18.027,-0.138,0.003,11.936,18.011
262539,12.475,18.027,-0.138,0.003,11.936,18.011
263051,12.475,18.027,-0.138,0.003,11.936,18.011
263553,12.475,18.027,-0.138,0.003,11.936,18.011
264054,12.475,18.027,-0.138,0.003,11.936,18.011
264538,12.475,18.027,-0.138,0.003,11.936,18.011
265048,12.475,18.027,-0.138,0.003,11.936,18.011
265538,12.475,18.027,-0.138,0.003,11.936,18.011
266052,12.475,18.027,-0.138,0.003,11.936,18.011
266547,12.475,18.027,-0.138,0.003,11.936,18.011
267043,12.475,18.027,-0.138,0.003,11.936,18.011
267529,12.475,18.027,-0.138,0.003,11.936,18.011
268024,12.475,18.027,-0.138,0.003,11.936,18.011
268503,12.475,18.027,-0.138,0.003,11.936,18.011
269014,12.475,18.027,-0.138,0.003,11.936,18.011
269498,12.475,18.027,-0.138,0.003,11.936,18.011
270008,12.475,18.027,-0.138,0.003,11.936,18.011
270500,12.475,18.027,-0.138,0.003,11.936,18.011
271014,12.475,18.027,-0.138,0.003,11.936,18.011
271498,12.475,18.027,-0.138,0.003,11.936,18.011
272010,12.475,18.027,-0.138,0.003,11.936,18.011
272495,12.475,18.027,-0.138,0.003,11.936,18.011
273025,12.475,18.027,-0.138,0.003,11.936,18.011
273513,12.475,18.027,-0.138,0.003,11.936,18.011
274020,12.475,18.027,-0.138,0.003,11.936,18.011
274513,12.475,18.027,-0.138,0.003,11.936,18.011
275016,12.475,18.027,-0.138,0.003,11.936,18.011
275500,12.475,18.027,-0.138,0.003,11.936,18.011
276009,12.475,18.027,-0.138,0.003,11.936,18.011
276489,12.475,18.027,-0.138,0.003,11.936,18.011
276992,12.475,18.027,-0.138,0.003,11.936,18.011
277481,12.475,18.027,-0.138,0.003,11.936,18.011
277979,12.475,18.027,-0.138,0.003,11.936,18.011
278460,12.475,18.027,-0.138,0.003,11.936,18.011
278968,12.475,18.027,-0.138,0.003,11.936,18.011
279442,12.475,18.027,-0.138,0.003,11.936,18.011
279948,12.475,18.027,-0.138,0.003,11.936,18.011
280428,12.475,18.027,-0.138,0.003,11.936,18.011
280936,12.475,18.027,-0.138,0.003,11.936,18.011
281416,12.475,18.027,-0.138,0.003,11.936,18.011
281930,12.475,18.027,-0.138,0.003,11.936,18.011
282423,12.475,18.027,-0.138,0.003,11.936,18.011
282924,12.475,18.027,-0.138,0.003,11.936,18.011
283438,12.475,18.027,-0.138,0.003,11.936,18.011
283944,12.475,18.027,-0.138,0.003,11.936,18.011
284459,12.475,18.027,-0.138,0.003,11.936,18.011
284941,12.475,18.027,-0.138,0.003,11.936,18.011
285454,12.475,18.027,-0.138,0.003,11.936,18.011
285931,12.475,18.027,-0.138,0.003,11.936,18.011
286440,12.475,18.027,-0.138,0.003,11.936,18.011
286926,12.475,18.027,-0.138,0.003,11.936,18.011
287440,12.475,18.027,-0.138,0.003,11.936,18.011
287923,12.475,18.027,-0.138,0.003,11.936,18.011
288437,12.475,18.027,-0.138,0.003,11.936,18.011
288915,12.475,18.027,-0.138,0.003,11.936,18.011
289423,12.475,18.027,-0.138,0.003,11.936,18.011
289907,12.475,18.027,-0.138,0.003,11.936,18.011
290417,12.475,18.027,-0.138,0.003,11.936,18.011
290895,12.475,18.027,-0.138,0.003,11.936,18.011
291398,12.475,18.027,-0.138,0.003,11.936,18.011
291887,12.475,18.027,-0.138,0.003,11.936,18.011
292395,12.475,18.027,-0.138,0.003,11.936,18.011
292870,12.475,18.027,-0.138,0.003,11.936,18.011
293398,12.475,18.027,-0.138,0.003,11.936,18.011
293881,12.475,18.027,-0.138,0.003,11.936,18.011
294391,12.475,18.027,-0.138,0.003,11.936,18.011
294875,12.475,18.027,-0.138,0.003,11.936,18.011
295373,12.475,18.027,-0.138,0.003,11.936,18.011
295849,12.475,18.027,-0.138,0.003,11.936,18.011
296352,12.475,18.027,-0.138,0.003,11.936,18.011
296832,12.475,18.027,-0.138,0.003,11.936,18.011
297367,12.475,18.027,-0.138,0.003,11.936,18.011
297901,12.475,18.027,-0.138,0.003,11.936,18.011
298390,12.475,18.027,-0.138,0.003,11.936,18.011
298911,12.475,18.027,-0.138,0.003,11.936,18.011
299400,12.458,18.027,-0.138,0.003,11.936,18.011
299913,12.458,18.027,-0.138,0.003,11.936,18.011
300388,12.458,18.027,-0.138,0.003,11.936,18.011
300900,12.458,18.027,-0.138,0.003,11.936,18.011
301376,12.458,18.027,-0.138,0.003,11.936,18.011
301884,12.458,18.027,-0.138,0.003,11.936,18.011
302372,12.458,18.027,-0.138,0.003,11.936,18.011
302877,12.458,18.027,-0.138,0.003,11.936,18.011
303359,12.458,18.027,-0.138,0.003,11.936,18.011
303860,12.458,18.027,-0.138,0.003,11.936,18.011
304346,12.458,18.027,-0.138,0.003,11.936,18.011
304841,12.458,18.027,-0.138,0.003,11.936,18.011
305319,12.458,18.027,-0.138,0.003,11.936,18.011
305831,12.458,18.027,-0.138,0.003,11.936,18.011
306320,12.458,18.027,-0.138,0.003,11.936,18.011
306832,12.458,18.027,-0.138,0.003,11.936,18.011
307306,12.458,18.027,-0.138,0.003,11.936,18.011
307815,12.458,18.027,-0.138,0.003,11.936,18.011
308292,12.458,18.027,-0.138,0.003,11.936,18.011
308829,12.458,18.027,-0.138,0.003,11.936,18.011
309306,12.458,18.027,-0.138,0.003,11.936,18.011
309811,12.458,18.027,-0.138,0.003,11.936,18.011
310329,12.458,18.027,-0.138,0.003,11.936,18.011
310811,12.458,18.027,-0.138,0.003,11.936,18.011
311318,12.458,18.027,-0.138,0.003,11.936,18.011
311802,12.458,18.027,-0.138,0.003,11.936,18.011
312306,12.458,18.027,-0.138,0.003,11.936,18.011
312781,12.458,18.027,-0.138,0.003,11.936,18.011
313290,12.458,18.027,-0.138,0.003,11.936,18.011
313774,12.458,18.027,-0.138,0.003,11.936,18.011
314287,12.458,18.027,-0.138,0.003,11.936,18.011
314775,12.458,18.027,-0.138,0.003,11.936,18.011
315272,12.458,18.027,-0.138,0.003,11.936,18.011
315741,12.458,18.027,-0.138,0.003,11.936,18.011
316246,12.458,18.027,-0.138,0.003,11.936,18.011
316721,12.458,18.027,-0.138,0.003,11.936,18.011
317234,12.458,18.027,-0.138,0.003,11.936,18.011
317720,12.458,18.027,-0.138,0.003,11.936,18.011
318225,12.458,18.027,-0.138,0.003,11.936,18.011
318717,12.458,18.027,-0.138,0.003,11.936,18.011
319265,12.458,18.027,-0.138,0.003,11.919,18.011
319741,12.458,18.027,-0.138,0.003,11.919,18.011
320258,12.458,18.027,-0.138,0.003,11.919,18.011
320743,12.458,18.027,-0.138,0.003,11.919,18.011
321245,12.458,18.027,-0.138,0.003,11.919,18.011
321725,12.458,18.027,-0.138,0.003,11.919,18.011
322233,12.458,18.027,-0.138,0.003,11.919,18.011
322727,12.458,18.027,-0.138,0.003,11.919,18.011
323238,12.458,18.027,-0.138,0.003,11.919,18.011
323709,12.458,18.027,-0.138,0.003,11.919,18.011
324217,12.458,18.027,-0.138,0.003,11.919,18.011
324689,12.458,18.027,-0.138,0.003,11.919,18.011
325201,12.458,18.027,-0.138,0.003,11.919,18.011
325689,12.458,18.027,-0.138,0.003,11.919,18.011
326200,12.458,18.027,-0.138,0.003,11.919,18.011
326697,12.458,18.027,-0.138,0.003,11.919,18.011
327209,12.458,18.027,-0.138,0.003,11.919,18.011
327713,12.458,18.027,-0.138,0.003,11.919,18.011
328197,12.458,18.027,-0.138,0.003,11.919,18.011
328697,12.458,18.027,-0.138,0.003,11.919,18.011
329206,12.458,18.027,-0.138,0.003,11.919,18.011
329713,12.458,18.027,-0.138,0.003,11.919,18.011
330197,12.458,18.027,-0.138,0.003,11.919,18.011
330715,12.458,18.027,-0.138,0.003,11.919,18.011
331189,12.458,18.027,-0.138,0.003,11.919,18.011
331696,12.458,18.027,-0.138,0.003,11.919,18.011
332173,12.458,18.027,-0.138,0.003,11.919,18.011
332681,12.458,18.027,-0.138,0.003,11.919,18.011
333163,12.458,18.027,-0.138,0.003,11.919,18.011
333670,12.458,18.027,-0.138,0.003,11.919,18.011
334152,12.458,18.027,-0.138,0.003,11.919,18.011
334667,12.458,18.027,-0.138,0.003,11.919,18.011
335143,12.458,18.027,-0.138,0.003,11.919,18.011
335639,12.458,18.027,-0.138,0.003,11.919,18.011
336112,12.458,18.027,-0.138,0.003,11.919,18.011
336613,12.458,18.027,-0.138,0.003,11.919,18.011
337089,12.458,18.027,-0.138,0.003,11.919,18.011
337593,12.458,18.027,-0.138,0.003,11.919,18.011
338066,12.458,18.027,-0.138,0.003,11.919,18.011
338586,12.458,18.027,-0.138,0.003,11.919,18.011
339061,12.458,18.027,-0.138,0.003,11.919,18.011
339598,12.458,18.027,-0.138,0.003,11.919,18.011
340112,12.458,18.027,-0.138,0.003,11.919,18.011
340588,12.458,18.027,-0.138,0.003,11.919,18.011
341104,12.458,18.027,-0.138,0.003,11.919,18.011
341583,12.458,18.027,-0.138,0.003,11.919,18.011
342093,12.458,18.027,-0.138,0.003,11.919,18.011
342582,12.458,18.027,-0.138,0.003,11.919,18.011
343083,12.458,18.027,-0.138,0.003,11.919,18.011
343555,12.458,18.027,-0.138,0.003,11.919,18.011
344063,12.458,18.027,-0.138,0.003,11.919,18.011
344544,12.458,18.027,-0.138,0.003,11.919,18.011
345053,12.458,18.027,-0.138,0.003,11.919,18.011
345563,12.458,18.027,-0.138,0.003,11.919,18.011
346116,12.441,18.027,-0.138,0.003,11.919,18.011
346633,12.441,18.027,-0.138,0.003,11.919,18.011
347117,12.441,18.027,-0.138,0.003,11.919,18.011
347618,12.441,18.027,-0.138,0.003,11.919,18.011
348097,12.441,18.027,-0.138,0.003,11.919,18.011
348597,12.441,18.027,-0.138,0.003,11.919,18.011
349074,12.441,18.027,-0.138,0.003,11.919,18.011
349576,12.441,18.027,-0.138,0.003,11.919,18.011
350053,12.441,18.027,-0.138,0.003,11.919,18.011
350567,12.441,18.027,-0.138,0.003,11.919,18.011
351036,12.441,18.027,-0.138,0.003,11.919,18.011
351527,12.441,18.027,-0.138,0.003,11.919,18.011
352001,12.441,18.027,-0.138,0.003,11.919,18.011
352510,12.441,18.027,-0.138,0.003,11.919,18.011
352989,12.441,18.027,-0.138,0.003,11.919,18.011
353489,12.441,18.027,-0.138,0.003,11.919,18.011
353967,12.441,18.027,-0.138,0.003,11.919,18.011
354482,12.441,18.027,-0.138,0.003,11.919,18.011
354963,12.441,18.027,-0.138,0.003,11.919,18.011
355464,12.441,18.027,-0.138,0.003,11.919,18.011
355941,12.441,18.027,-0.138,0.003,11.919,18.011
356463,12.441,18.027,-0.138,0.003,11.919,18.011
356944,12.441,18.027,-0.138,0.003,11.919,18.011
357440,12.441,18.027,-0.138,0.003,11.919,18.011
357918,12.441,18.027,-0.138,0.003,11.919,18.011
358432,12.441,18.027,-0.138,0.003,11.919,18.011
358912,12.441,18.027,-0.138,0.003,11.919,18.011
359429,12.441,18.027,-0.138,0.003,11.919,18.011
359906,12.441,18.027,-0.138,0.003,11.919,18.011
360414,12.441,18.027,-0.138,0.003,11.919,18.011
360899,12.441,18.027,-0.138,0.003,11.919,18.011
361404,12.441,18.027,-0.138,0.003,11.919,18.011
361884,12.441,18.027,-0.138,0.003,11.919,18.011
362409,12.441,18.027,-0.138,0.003,11.919,18.011
362887,12.441,18.027,-0.138,0.003,11.919,18.011
363394,12.441,18.027,-0.138,0.003,11.919,18.011
363873,12.441,18.027,-0.138,0.003,11.919,18.011
364377,12.441,18.027,-0.138,0.003,11.919,18.011
364858,12.441,18.027,-0.138,0.003,11.919,18.011
365360,12.441,18.027,-0.138,0.003,11.919,18.011
365841,12.441,18.027,-0.138,0.003,11.919,18.011
366385,12.441,18.027,-0.138,0.003,11.919,18.011
366862,12.441,18.027,-0.138,0.003,11.919,18.011
367375,12.441,18.027,-0.138,0.003,11.919,18.011
367863,12.441,18.027,-0.138,0.003,11.919,18.011
368368,12.441,18.027,-0.138,0.003,11.919,18.011
368835,12.441,18.027,-0.138,0.003,11.919,18.011
369340,12.441,18.027,-0.138,0.003,11.919,18.011
369813,12.441,18.027,-0.138,0.003,11.919,18.011
370317,12.441,18.027,-0.138,0.003,11.919,18.011
370796,12.441,18.027,-0.138,0.003,11.919,18.011
371308,12.441,18.027,-0.138,0.003,11.919,18.011
371793,12.441,18.027,-0.138,0.003,11.919,18.011
372298,12.441,18.027,-0.138,0.003,11.919,18.011
372776,12.441,18.027,-0.138,0.003,11.919,18.011
373272,12.441,18.027,-0.138,0.003,11.919,18.011
373747,12.441,18.027,-0.138,0.003,11.919,18.011
374272,12.441,18.027,-0.138,0.003,11.919,18.011
374753,12.441,18.027,-0.138,0.003,11.919,18.011
375248,12.441,18.027,-0.138,0.003,11.919,18.011
375757,12.441,18.027,-0.138,0.003,11.919,18.011
376228,12.441,18.027,-0.138,0.003,11.919,18.011
376759,12.441,18.027,-0.138,0.003,11.919,18.011
377234,12.441,18.027,-0.138,0.003,11.919,18.011
377743,12.441,18.027,-0.138,0.003,11.919,18.011
378226,12.441,18.027,-0.138,0.003,11.919,18.011
378741,12.441,18.027,-0.138,0.003,11.919,18.011
379218,12.441,18.027,-0.138,0.003,11.919,18.011
379729,12.441,18.027,-0.138,0.003,11.919,18.011
380211,12.441,18.027,-0.138,0.003,11.919,18.011
380775,12.441,18.027,-0.138,0.003,11.919,18.011
381263,12.441,18.027,-0.138,0.003,11.919,18.011
381771,12.441,18.027,-0.138,0.003,11.919,18.011
382279,12.441,18.027,-0.138,0.003,11.919,18.011
382763,12.441,18.027,-0.138,0.003,11.919,18.011
383266,12.441,18.027,-0.138,0.003,11.903,18.011
383748,12.441,18.027,-0.138,0.003,11.919,18.011
384247,12.441,18.027,-0.138,0.003,11.919,18.011
384727,12.441,18.027,-0.138,0.003,11.903,18.011
385224,12.441,18.027,-0.138,0.003,11.903,18.011
385697,12.441,18.027,-0.138,0.003,11.903,18.011
386201,12.441,18.027,-0.138,0.003,11.903,18.011
386693,12.441,18.027,-0.138,0.003,11.903,18.011
387191,12.441,18.027,-0.138,0.003,11.903,18.011
387678,12.441,18.027,-0.138,0.003,11.903,18.011
388223,12.425,18.027,-0.138,0.003,11.903,18.011
388697,12.441,18.027,-0.138,0.003,11.903,18.011
389205,12.425,18.027,-0.138,0.003,11.903,18.011
389686,12.425,18.027,-0.138,0.003,11.903,18.011
390186,12.425,18.027,-0.138,0.003,11.903,18.011
390671,12.425,18.027,-0.138,0.003,11.903,18.011
391190,12.425,18.027,-0.138,0.003,11.903,18.011
391674,12.425,18.027,-0.138,0.003,11.903,18.011
392179,12.425,18.027,-0.138,0.003,11.903,18.011
392659,12.425,18.027,-0.138,0.003,11.903,18.011
393168,12.425,18.027,-0.138,0.003,11.903,18.011
393640,12.425,18.027,-0.138,0.003,11.903,18.011
394146,12.425,18.027,-0.138,0.003,11.903,18.011
394644,12.425,18.027,-0.138,0.003,11.903,18.011
395160,12.425,18.027,-0.138,0.003,11.903,18.011
395666,12.425,18.027,-0.138,0.003,11.903,18.011
396140,12.425,18.027,-0.138,0.003,11.903,18.011
396646,12.425,18.027,-0.138,0.003,11.903,18.011
397136,12.425,18.027,-0.138,0.003,11.903,18.011
397632,12.425,18.027,-0.138,0.003,11.903,18.011
398114,12.425,18.027,-0.138,0.003,11.903,18.011
398667,12.425,18.027,-0.138,0.003,11.903,18.011
399143,12.425,18.027,-0.138,0.003,11.903,18.011
399658,12.425,18.027,-0.138,0.003,11.903,18.011
400127,12.425,18.027,-0.138,0.003,11.903,18.011
400636,12.425,18.027,-0.138,0.003,11.903,18.011
401111,12.425,18.027,-0.138,0.003,11.903,18.011
401614,12.425,18.027,-0.138,0.003,11.903,18.011
402095,12.425,18.027,-0.138,0.003,11.903,18.011
402613,12.425,18.027,-0.138,0.003,11.903,18.011
403085,12.425,18.027,-0.138,0.003,11.903,18.011
403602,12.425,18.027,-0.138,0.003,11.903,18.011
404079,12.425,18.027,-0.138,0.003,11.903,18.011
404588,12.425,18.027,-0.138,0.003,11.903,18.011
405072,12.425,18.027,-0.138,0.003,11.903,18.011
405588,12.425,18.027,-0.138,0.003,11.903,18.011
406063,12.425,18.027,-0.138,0.003,11.903,18.011
406576,12.425,18.027,-0.138,0.003,11.903,18.011
407056,12.425,18.027,-0.138,0.003,11.903,18.011
407562,12.425,18.027,-0.138,0.003,11.903,18.011
408036,12.425,18.027,-0.138,0.003,11.903,18.011
408575,12.425,18.027,-0.138,0.003,11.903,18.011
409054,12.425,18.027,-0.138,0.003,11.903,18.011
409563,12.425,18.027,-0.138,0.003,11.903,18.011
410083,12.425,18.027,-0.138,0.003,11.903,18.011
410577,12.425,18.027,-0.138,0.003,11.903,18.011
411076,12.425,18.027,-0.138,0.003,11.903,18.011
411561,12.425,18.027,-0.138,0.003,11.903,18.011
412067,12.425,18.027,-0.138,0.003,11.903,18.011
412550,12.425,18.027,-0.138,0.003,11.903,18.011
413065,12.425,18.027,-0.138,0.003,11.903,18.011
413551,12.425,18.027,-0.138,0.003,11.903,18.011
414053,12.425,18.027,-0.138,0.003,11.903,18.011
414543,12.425,18.027,-0.138,0.003,11.903,18.011
415057,12.425,18.027,-0.138,0.003,11.903,18.011
415542,12.425,18.027,-0.138,0.003,11.903,18.011
416050,12.425,18.027,-0.138,0.003,11.903,18.011
416532,12.425,18.027,-0.138,0.003,11.903,18.011
417035,12.425,18.027,-0.138,0.003,11.903,18.011
417509,12.425,18.027,-0.138,0.003,11.903,18.011
418013,12.425,18.027,-0.138,0.003,11.903,18.011
418506,12.425,18.027,-0.138,0.003,11.903,18.011
419051,12.425,18.027,-0.138,0.003,11.903,18.011
419533,12.425,18.027,-0.138,0.003,11.903,18.011
420033,12.425,18.027,-0.138,0.003,11.903,18.011
420507,12.425,18.027,-0.138,0.003,11.903,18.011
421016,12.425,18.027,-0.138,0.003,11.903,18.011
421504,12.425,18.027,-0.138,0.003,11.903,18.011
422003,12.425,18.027,-0.138,0.003,11.903,18.011
422497,12.425,18.027,-0.138,0.003,11.903,18.011
423010,12.425,18.027,-0.138,0.003,11.903,18.011
423504,12.425,18.027,-0.138,0.003,11.903,18.011
424013,12.425,18.027,-0.138,0.003,11.903,18.011
424494,12.425,18.027,-0.138,0.003,11.903,18.011
425004,12.425,18.027,-0.138,0.003,11.903,18.011
425482,12.425,18.027,-0.138,0.003,11.903,18.011
425993,12.425,18.01,-0.138,0.003,11.903,18.011
426476,12.425,18.027,-0.138,0.003,11.903,18.011
426983,12.425,18.027,-0.138,0.003,11.903,18.011
427460,12.425,18.027,-0.138,0.003,11.903,18.011
427966,12.425,18.027,-0.138,0.003,11.903,18.011
428442,12.425,18.027,-0.138,0.003,11.903,18.011
428982,12.425,18.027,-0.138,0.003,11.903,18.011
429524,12.425,18.027,-0.138,0.003,11.903,18.011
429997,12.408,18.027,-0.138,0.003,11.903,18.011
430516,12.408,18.027,-0.138,0.003,11.903,18.011
430993,12.408,18.027,-0.138,0.003,11.903,18.011
431494,12.408,18.027,-0.138,0.003,11.903,18.011
431973,12.408,18.027,-0.138,0.003,11.903,18.011
432474,12.408,18.027,-0.138,0.003,11.903,18.011
432945,12.408,18.027,-0.138,0.003,11.903,18.011
433445,12.408,18.027,-0.138,0.003,11.903,18.011
433925,12.408,18.027,-0.138,0.003,11.903,18.011
434433,12.408,18.027,-0.138,0.003,11.903,18.011
434909,12.408,18.027,-0.138,0.003,11.903,18.011
435409,12.408,18.027,-0.138,0.003,11.903,18.011
435887,12.408,18.027,-0.138,0.003,11.903,18.011
436393,12.408,18.027,-0.138,0.003,11.903,18.011
436860,12.408,18.027,-0.138,0.003,11.886,18.011
437372,12.408,18.027,-0.138,0.003,11.886,18.011
437848,12.408,18.027,-0.138,0.003,11.886,18.011
438356,12.408,18.027,-0.138,0.003,11.886,18.011
438840,12.408,18.027,-0.138,0.003,11.886,18.011
439377,12.408,18.027,-0.138,0.003,11.886,18.011
439855,12.408,18.027,-0.138,0.003,11.886,18.011
440363,12.408,18.027,-0.138,0.003,11.886,18.011
440842,12.408,18.027,-0.138,0.003,11.886,18.011
441352,12.408,18.027,-0.138,0.003,11.886,18.011
441822,12.408,18.027,-0.138,0.003,11.886,18.011
442336,12.408,18.027,-0.138,0.003,11.886,18.011
442815,12.408,18.027,-0.138,0.003,11.886,18.011
443320,12.408,18.027,-0.138,0.003,11.886,18.011
443798,12.408,18.027,-0.138,0.003,11.886,18.011
444309,12.408,18.027,-0.138,0.003,11.886,18.011
444785,12.408,18.027,-0.138,0.003,11.886,18.011
445281,12.408,18.027,-0.138,0.003,11.886,18.011
445757,12.408,18.027,-0.138,0.003,11.886,18.011
446274,12.408,18.027,-0.138,0.003,11.886,18.011
446742,12.408,18.027,-0.138,0.003,11.886,18.011
447252,12.408,18.027,-0.138,0.003,11.886,18.011
447730,12.408,18.027,-0.138,0.003,11.886,18.011
448233,12.408,18.027,-0.138,0.003,11.886,18.011
448717,12.408,18.027,-0.138,0.003,11.886,18.011
449210,12.408,18.01,-0.138,0.003,11.886,18.011
449711,12.408,18.01,-0.138,0.003,11.886,18.011
450229,12.408,18.027,-0.138,0.003,11.886,18.011
450736,12.408,18.027,-0.138,0.003,11.886,18.011
451207,12.408,18.027,-0.138,0.003,11.886,18.011
451713,12.408,18.027,-0.138,0.003,11.886,18.011
452197,12.408,18.027,-0.138,0.003,11.886,18.011
452705,12.408,18.027,-0.138,0.003,11.886,18.011
453182,12.408,18.027,-0.138,0.003,11.886,18.011
453684,12.408,18.027,-0.138,0.003,11.886,18.011
454173,12.408,18.027,-0.138,0.003,11.886,18.011
454684,12.408,18.027,-0.138,0.003,11.886,18.011
455167,12.408,18.027,-0.138,0.003,11.886,18.011
455674,12.408,18.027,-0.138,0.003,11.886,18.011
456153,12.408,18.027,-0.138,0.003,11.886,18.011
456648,12.408,18.027,-0.138,0.003,11.886,18.011
457127,12.408,18.027,-0.138,0.003,11.886,18.011
457634,12.408,18.027,-0.138,0.003,11.886,18.011
458119,12.408,18.027,-0.138,0.003,11.886,18.011
458627,12.408,18.027,-0.138,0.003,11.886,18.011
459103,12.408,18.027,-0.138,0.003,11.886,18.011
459630,12.408,18.027,-0.138,0.003,11.886,18.011
460106,12.408,18.027,-0.138,0.003,11.886,18.011
460603,12.408,18.027,-0.138,0.003,11.886,18.011
461106,12.408,18.027,-0.138,0.003,11.886,18.011
461586,12.408,18.027,-0.138,0.003,11.886,18.011
462101,12.408,18.027,-0.138,0.003,11.886,18.011
462596,12.408,18.027,-0.138,0.003,11.886,18.011
463102,12.408,18.027,-0.138,0.003,11.886,18.011
463574,12.408,18.027,-0.138,0.003,11.886,18.011
464082,12.408,18.027,-0.138,0.003,11.886,18.011
464568,12.408,18.027,-0.138,0.003,11.886,18.011
465100,12.408,18.027,-0.138,0.003,11.886,18.011
465588,12.391,18.027,-0.138,0.003,11.886,18.011
466106,12.391,18.01,-0.138,0.003,11.886,18.011
466593,12.391,18.027,-0.138,0.003,11.886,18.011
467134,12.391,18.027,-0.138,0.003,11.886,18.011
467674,12.391,18.027,-0.138,0.003,11.886,18.011
468147,12.391,18.027,-0.138,0.003,11.886,18.011
468650,12.391,18.027,-0.138,0.003,11.886,18.011
469163,12.391,18.027,-0.138,0.003,11.886,18.011
469704,12.391,18.027,-0.138,0.003,11.886,18.011
470223,12.391,18.027,-0.138,0.003,11.886,18.011
470706,12.391,18.027,-0.138,0.003,11.886,18.011
471215,12.391,18.027,-0.138,0.003,11.886,18.011
471722,12.391,18.027,-0.138,0.003,11.886,18.011
472266,12.391,18.027,-0.138,0.003,11.886,18.011
472742,12.391,18.027,-0.138,0.003,11.886,18.011
473249,12.391,18.01,-0.138,0.003,11.886,18.011
473819,12.391,18.027,-0.138,0.003,11.886,18.011
474307,12.391,18.027,-0.138,0.003,11.886,18.011
474806,12.391,18.027,-0.138,0.003,11.886,18.011
475283,12.391,18.027,-0.138,0.003,11.886,18.011
475798,12.391,18.027,-0.138,0.003,11.886,18.011
476286,12.391,18.027,-0.138,0.003,11.886,18.011
476793,12.391,18.027,-0.138,0.003,11.886,18.011
477311,12.391,18.027,-0.138,0.003,11.886,18.011
477835,12.391,18.027,-0.138,0.003,11.886,18.011
478353,12.391,18.027,-0.138,0.003,11.886,18.011
478834,12.391,18.027,-0.138,0.003,11.886,18.011
479360,12.391,18.027,-0.138,0.003,11.886,18.011
479867,12.391,18.027,-0.138,0.003,11.886,18.011
480399,12.391,18.027,-0.138,0.003,11.886,18.011
480930,12.391,18.027,-0.138,0.003,11.886,18.011
